RefundID,OrderID,RefundAmount,RefundReason
RF00064,O014896,349,Cancelled
RF00065,O005971,219,Quality Issue
RF00066,O004227,381,Late Delivery
RF00067,O005245,83,Quality Issue
RF00068,O005515,132,Cancelled
RF00069,O011054,298,Cancelled
RF00070,O013060,381,Wrong Item
RF00071,O005906,177,Quality Issue
RF00072,O001064,59,Cancelled
RF00073,O007138,194,Quality Issue
RF00074,O002363,213,Late Delivery
RF00075,O018223,259,Quality Issue
RF00076,O018910,70,Late Delivery
RF00077,O001521,368,Cancelled
RF00078,O015599,493,Late Delivery
RF00079,O010377,253,Cancelled
RF00080,O011268,475,Quality Issue
RF00081,O009008,180,Cancelled
RF00082,O014301,226,Late Delivery
RF00083,O014337,149,Wrong Item
RF00084,O002767,417,Cancelled
RF00085,O013001,282,Cancelled
RF00086,O010564,316,Late Delivery
RF00087,O019559,67,Wrong Item
RF00088,O000842,168,Quality Issue
RF00089,O009403,102,Wrong Item
RF00090,O016035,340,Quality Issue
RF00091,O012531,354,Late Delivery
RF00092,O015863,499,Quality Issue
RF00093,O014466,327,Cancelled
RF00094,O002674,122,Late Delivery
RF00095,O011998,218,Late Delivery
RF00096,O009435,250,Wrong Item
RF00097,O003182,179,Quality Issue
RF00098,O015832,307,Wrong Item
RF00099,O000486,334,Cancelled
RF00100,O003898,368,Wrong Item
RF00101,O003565,228,Late Delivery
RF00102,O003870,101,Cancelled
RF00103,O003888,371,Late Delivery
RF00104,O000011,449,Quality Issue
RF00105,O006872,355,Wrong Item
RF00106,O013695,363,Wrong Item
RF00107,O018386,242,Quality Issue
RF00108,O003992,248,Quality Issue
RF00109,O002738,226,Late Delivery
RF00110,O003802,209,Wrong Item
RF00111,O014879,405,Cancelled
RF00112,O013780,330,Quality Issue
RF00113,O004797,117,Quality Issue
RF00114,O011336,308,Cancelled
RF00115,O016587,81,Late Delivery
RF00116,O018931,152,Wrong Item
RF00117,O011518,257,Quality Issue
RF00118,O017892,132,Wrong Item
RF00119,O017747,493,Quality Issue
RF00120,O004550,184,Wrong Item
RF00121,O008949,376,Quality Issue
RF00122,O006499,381,Quality Issue
RF00123,O003284,350,Wrong Item
RF00124,O009068,390,Cancelled
RF00125,O010104,340,Wrong Item
RF00126,O019069,350,Wrong Item
RF00127,O004582,264,Wrong Item
RF00128,O007930,257,Cancelled
RF00129,O011913,183,Wrong Item
RF00130,O018500,206,Wrong Item
RF00131,O010511,140,Quality Issue
RF00132,O008850,368,Late Delivery
RF00133,O007269,68,Cancelled
RF00134,O011559,316,Wrong Item
RF00135,O007821,351,Quality Issue
RF00136,O017868,262,Quality Issue
RF00137,O017078,323,Cancelled
RF00138,O000517,264,Wrong Item
RF00139,O008234,300,Late Delivery
RF00140,O002389,119,Quality Issue
RF00141,O003143,416,Quality Issue
RF00142,O011809,51,Late Delivery
RF00143,O014281,84,Cancelled
RF00144,O019045,195,Wrong Item
RF00145,O016200,230,Late Delivery
RF00146,O005832,494,Quality Issue
RF00147,O012092,311,Cancelled
RF00148,O016601,426,Late Delivery
RF00149,O013780,90,Late Delivery
RF00150,O010061,490,Cancelled
RF00151,O019836,476,Late Delivery
RF00152,O012249,276,Wrong Item
RF00153,O011787,138,Cancelled
RF00154,O014105,457,Cancelled
RF00155,O018858,60,Quality Issue
RF00156,O006612,398,Wrong Item
RF00157,O005079,282,Wrong Item
RF00158,O019549,273,Quality Issue
RF00159,O017301,281,Quality Issue
RF00160,O007799,228,Quality Issue
RF00161,O007580,426,Late Delivery
RF00162,O011694,207,Cancelled
RF00163,O007496,57,Late Delivery
RF00164,O010550,490,Wrong Item
RF00165,O012729,429,Late Delivery
RF00166,O011870,462,Quality Issue
RF00167,O010505,256,Wrong Item
RF00168,O018565,340,Wrong Item
RF00169,O000440,122,Cancelled
RF00170,O003542,255,Cancelled
RF00171,O004850,109,Cancelled
RF00172,O004511,244,Cancelled
RF00173,O011260,435,Cancelled
RF00174,O000628,112,Quality Issue
RF00175,O011682,171,Quality Issue
RF00176,O011161,486,Quality Issue
RF00177,O006018,260,Late Delivery
RF00178,O019304,347,Cancelled
RF00179,O006349,305,Quality Issue
RF00180,O007865,196,Cancelled
RF00181,O006165,276,Wrong Item
RF00182,O000665,256,Late Delivery
RF00183,O010624,93,Late Delivery
RF00184,O005543,349,Quality Issue
RF00185,O013832,341,Late Delivery
RF00186,O015410,326,Quality Issue
RF00187,O017646,430,Quality Issue
RF00188,O008556,250,Wrong Item
RF00189,O008666,61,Wrong Item
RF00190,O006068,58,Wrong Item
RF00191,O000315,368,Late Delivery
RF00192,O017708,464,Wrong Item
RF00193,O009501,474,Quality Issue
RF00194,O012391,372,Late Delivery
RF00195,O007218,149,Wrong Item
RF00196,O010569,191,Cancelled
RF00197,O004296,362,Wrong Item
RF00198,O011392,451,Quality Issue
RF00199,O001008,375,Late Delivery
RF00200,O003180,374,Wrong Item
RF00201,O005424,61,Cancelled
RF00202,O004660,280,Late Delivery
RF00203,O017218,84,Cancelled
RF00204,O006386,375,Cancelled
RF00205,O000044,329,Cancelled
RF00206,O011911,294,Quality Issue
RF00207,O019746,431,Cancelled
RF00208,O013576,204,Cancelled
RF00209,O011358,176,Wrong Item
RF00210,O018472,145,Cancelled
RF00211,O003236,143,Late Delivery
RF00212,O006407,321,Cancelled
RF00213,O016604,337,Cancelled
RF00214,O009682,277,Cancelled
RF00215,O009341,426,Late Delivery
RF00216,O012804,56,Late Delivery
RF00217,O010429,192,Quality Issue
RF00218,O005236,413,Late Delivery
RF00219,O003101,147,Wrong Item
RF00220,O015898,194,Late Delivery
RF00221,O004003,411,Wrong Item
RF00222,O008945,80,Quality Issue
RF00223,O015922,412,Cancelled
RF00224,O014852,480,Late Delivery
RF00225,O016745,147,Quality Issue
RF00226,O005951,259,Cancelled
RF00227,O004921,110,Wrong Item
RF00228,O002719,290,Cancelled
RF00229,O000595,279,Wrong Item
RF00230,O004360,86,Cancelled
RF00231,O005393,248,Late Delivery
RF00232,O001676,157,Cancelled
RF00233,O018865,307,Late Delivery
RF00234,O019984,416,Wrong Item
RF00235,O005669,422,Wrong Item
RF00236,O007503,380,Cancelled
RF00237,O008152,232,Wrong Item
RF00238,O010072,210,Wrong Item
RF00239,O011898,151,Late Delivery
RF00240,O006167,56,Late Delivery
RF00241,O000874,184,Cancelled
RF00242,O014783,263,Cancelled
RF00243,O002558,116,Wrong Item
RF00244,O010160,102,Cancelled
RF00245,O008957,167,Cancelled
RF00246,O014375,211,Quality Issue
RF00247,O015333,289,Wrong Item
RF00248,O003833,98,Wrong Item
RF00249,O005588,72,Quality Issue
RF00250,O007176,102,Cancelled
RF00251,O008351,290,Quality Issue
RF00252,O011844,387,Late Delivery
RF00253,O013949,177,Cancelled
RF00254,O017298,376,Quality Issue
RF00255,O009093,138,Cancelled
RF00256,O019044,231,Late Delivery
RF00257,O010685,410,Quality Issue
RF00258,O002871,165,Late Delivery
RF00259,O016915,79,Quality Issue
RF00260,O019070,383,Late Delivery
RF00261,O008571,165,Cancelled
RF00262,O009879,371,Quality Issue
RF00263,O004609,335,Quality Issue
RF00264,O006406,441,Wrong Item
RF00265,O001722,418,Wrong Item
RF00266,O008925,89,Cancelled
RF00267,O017274,385,Late Delivery
RF00268,O019524,198,Late Delivery
RF00269,O010828,131,Wrong Item
RF00270,O009247,375,Wrong Item
RF00271,O003469,240,Wrong Item
RF00272,O013626,468,Late Delivery
RF00273,O008329,403,Wrong Item
RF00274,O016488,64,Late Delivery
RF00275,O009204,51,Cancelled
RF00276,O019174,254,Late Delivery
RF00277,O015263,493,Wrong Item
RF00278,O013702,68,Late Delivery
RF00279,O006402,170,Cancelled
RF00280,O010341,334,Wrong Item
RF00281,O004528,167,Wrong Item
RF00282,O005656,335,Cancelled
RF00283,O014227,214,Cancelled
RF00284,O009499,285,Quality Issue
RF00285,O006664,355,Wrong Item
RF00286,O016019,275,Late Delivery
RF00287,O013915,93,Wrong Item
RF00288,O004609,334,Late Delivery
RF00289,O005360,149,Quality Issue
RF00290,O019955,147,Cancelled
RF00291,O016066,422,Quality Issue
RF00292,O015800,81,Wrong Item
RF00293,O005552,175,Wrong Item
RF00294,O001173,191,Cancelled
RF00295,O000224,488,Quality Issue
RF00296,O011196,267,Cancelled
RF00297,O017994,63,Late Delivery
RF00298,O019582,232,Cancelled
RF00299,O018409,302,Quality Issue
RF00300,O014869,332,Wrong Item
RF00301,O002561,319,Quality Issue
RF00302,O004349,164,Late Delivery
RF00303,O010462,88,Cancelled
RF00304,O001679,164,Cancelled
RF00305,O018718,486,Cancelled
RF00306,O011629,332,Late Delivery
RF00307,O008965,383,Cancelled
RF00308,O013765,276,Late Delivery
RF00309,O010418,128,Quality Issue
RF00310,O010848,385,Wrong Item
RF00311,O018931,448,Cancelled
RF00312,O016598,316,Late Delivery
RF00313,O015577,301,Cancelled
RF00314,O001866,121,Late Delivery
RF00315,O005611,446,Late Delivery
RF00316,O009599,338,Quality Issue
RF00317,O007599,78,Wrong Item
RF00318,O002817,196,Cancelled
RF00319,O008462,422,Cancelled
RF00320,O009736,236,Quality Issue
RF00321,O011214,116,Cancelled
RF00322,O014916,276,Wrong Item
RF00323,O006460,151,Quality Issue
RF00324,O010278,114,Cancelled
RF00325,O001690,196,Quality Issue
RF00326,O003098,214,Late Delivery
RF00327,O006398,173,Cancelled
RF00328,O001278,51,Late Delivery
RF00329,O000786,500,Quality Issue
RF00330,O003968,352,Quality Issue
RF00331,O006707,123,Wrong Item
RF00332,O008786,277,Cancelled
RF00333,O010222,257,Wrong Item
RF00334,O018469,479,Wrong Item
RF00335,O019308,137,Quality Issue
RF00336,O002344,477,Late Delivery
RF00337,O006508,161,Cancelled
RF00338,O017758,80,Wrong Item
RF00339,O014321,289,Cancelled
RF00340,O002862,87,Wrong Item
RF00341,O018176,197,Quality Issue
RF00342,O007466,110,Quality Issue
RF00343,O004803,309,Quality Issue
RF00344,O019922,241,Wrong Item
RF00345,O003995,72,Wrong Item
RF00346,O009590,75,Wrong Item
RF00347,O018762,343,Late Delivery
RF00348,O002571,496,Wrong Item
RF00349,O006294,153,Quality Issue
RF00350,O019304,405,Wrong Item
RF00351,O014685,152,Wrong Item
RF00352,O016778,82,Late Delivery
RF00353,O019357,102,Cancelled
RF00354,O013479,491,Late Delivery
RF00355,O013702,393,Late Delivery
RF00356,O008885,53,Wrong Item
RF00357,O013459,497,Quality Issue
RF00358,O005798,338,Cancelled
RF00359,O000559,468,Wrong Item
RF00360,O011918,149,Wrong Item
RF00361,O002640,258,Wrong Item
RF00362,O012844,202,Wrong Item
RF00363,O010018,153,Quality Issue
RF00364,O007646,81,Late Delivery
RF00365,O005484,298,Cancelled
RF00366,O001103,368,Wrong Item
RF00367,O004184,364,Late Delivery
RF00368,O009021,315,Wrong Item
RF00369,O019683,246,Wrong Item
RF00370,O018976,481,Cancelled
RF00371,O005647,350,Late Delivery
RF00372,O016779,395,Late Delivery
RF00373,O010696,353,Cancelled
RF00374,O002456,167,Late Delivery
RF00375,O019396,143,Wrong Item
RF00376,O001244,189,Late Delivery
RF00377,O005349,436,Late Delivery
RF00378,O011447,71,Late Delivery
RF00379,O016872,133,Cancelled
RF00380,O006369,189,Quality Issue
RF00381,O011341,340,Wrong Item
RF00382,O015666,270,Late Delivery
RF00383,O010785,472,Cancelled
RF00384,O014622,360,Quality Issue
RF00385,O004063,386,Quality Issue
RF00386,O010663,237,Late Delivery
RF00387,O015709,133,Cancelled
RF00388,O017397,272,Wrong Item
RF00389,O001285,455,Cancelled
RF00390,O000727,207,Wrong Item
RF00391,O000992,407,Late Delivery
RF00392,O015878,444,Quality Issue
RF00393,O004742,491,Wrong Item
RF00394,O004838,173,Late Delivery
RF00395,O015845,202,Wrong Item
RF00396,O015264,119,Cancelled
RF00397,O004199,370,Wrong Item
RF00398,O006159,322,Quality Issue
RF00399,O004990,352,Quality Issue
RF00400,O002659,292,Cancelled
RF00401,O008735,402,Wrong Item
RF00402,O006184,307,Wrong Item
RF00403,O015716,339,Wrong Item
RF00404,O015465,248,Wrong Item
RF00405,O004398,73,Quality Issue
RF00406,O012660,470,Cancelled
RF00407,O000452,489,Late Delivery
RF00408,O007968,245,Wrong Item
RF00409,O003524,238,Cancelled
RF00410,O011207,183,Cancelled
RF00411,O012488,184,Late Delivery
RF00412,O015051,134,Cancelled
RF00413,O010521,292,Quality Issue
RF00414,O015845,464,Late Delivery
RF00415,O016435,322,Cancelled
RF00416,O017555,183,Cancelled
RF00417,O009561,196,Quality Issue
RF00418,O006457,332,Cancelled
RF00419,O013428,265,Quality Issue
RF00420,O016596,305,Cancelled
RF00421,O014123,431,Late Delivery
RF00422,O013673,339,Cancelled
RF00423,O017824,452,Late Delivery
RF00424,O017619,146,Quality Issue
RF00425,O016813,173,Wrong Item
RF00426,O003593,357,Wrong Item
RF00427,O005867,453,Late Delivery
RF00428,O008552,124,Quality Issue
RF00429,O008346,62,Late Delivery
RF00430,O017050,174,Cancelled
RF00431,O011236,51,Cancelled
RF00432,O004102,304,Cancelled
RF00433,O002692,435,Quality Issue
RF00434,O002663,283,Quality Issue
RF00435,O007972,120,Quality Issue
RF00436,O001277,240,Quality Issue
RF00437,O015042,401,Cancelled
RF00438,O004190,99,Cancelled
RF00439,O005833,492,Wrong Item
RF00440,O005005,470,Wrong Item
RF00441,O016228,180,Late Delivery
RF00442,O016816,167,Quality Issue
RF00443,O014796,230,Quality Issue
RF00444,O010148,452,Quality Issue
RF00445,O006763,395,Wrong Item
RF00446,O009733,212,Wrong Item
RF00447,O004107,268,Wrong Item
RF00448,O009042,334,Cancelled
RF00449,O005144,332,Late Delivery
RF00450,O017906,241,Wrong Item
RF00451,O014978,266,Quality Issue
RF00452,O017184,416,Quality Issue
RF00453,O011496,106,Late Delivery
RF00454,O009120,310,Quality Issue
RF00455,O002348,234,Quality Issue
RF00456,O008605,350,Quality Issue
RF00457,O018387,166,Late Delivery
RF00458,O002462,70,Late Delivery
RF00459,O007450,310,Late Delivery
RF00460,O011153,493,Wrong Item
RF00461,O007227,65,Wrong Item
RF00462,O012052,474,Quality Issue
RF00463,O005675,296,Late Delivery
RF00464,O003929,331,Cancelled
RF00465,O016810,229,Wrong Item
RF00466,O010375,327,Wrong Item
RF00467,O007662,395,Quality Issue
RF00468,O002247,285,Late Delivery
RF00469,O008566,296,Quality Issue
RF00470,O017583,497,Late Delivery
RF00471,O015663,398,Wrong Item
RF00472,O007663,383,Cancelled
RF00473,O002529,371,Quality Issue
RF00474,O004266,479,Late Delivery
RF00475,O006817,317,Late Delivery
RF00476,O010178,218,Wrong Item
RF00477,O007681,491,Quality Issue
RF00478,O005291,130,Quality Issue
RF00479,O007311,487,Wrong Item
RF00480,O011363,88,Cancelled
RF00481,O019940,326,Wrong Item
RF00482,O005586,90,Quality Issue
RF00483,O001954,221,Late Delivery
RF00484,O009632,310,Wrong Item
RF00485,O006814,296,Late Delivery
RF00486,O012469,166,Quality Issue
RF00487,O011055,488,Wrong Item
RF00488,O019789,90,Wrong Item
RF00489,O016325,475,Quality Issue
RF00490,O001035,313,Cancelled
RF00491,O009537,317,Cancelled
RF00492,O014931,305,Cancelled
RF00493,O011941,274,Cancelled
RF00494,O001141,331,Cancelled
RF00495,O011010,216,Late Delivery
RF00496,O008009,343,Cancelled
RF00497,O015544,265,Late Delivery
RF00498,O015491,292,Wrong Item
RF00499,O017447,422,Quality Issue
RF00500,O003715,377,Wrong Item
RF00501,O001353,180,Late Delivery
RF00502,O018074,67,Cancelled
RF00503,O007191,145,Quality Issue
RF00504,O013507,454,Cancelled
RF00505,O006995,374,Quality Issue
RF00506,O006213,203,Quality Issue
RF00507,O018605,403,Wrong Item
RF00508,O000391,132,Quality Issue
RF00509,O019651,198,Quality Issue
RF00510,O009607,61,Wrong Item
RF00511,O008820,243,Quality Issue
RF00512,O019251,188,Cancelled
RF00513,O007506,465,Quality Issue
RF00514,O014147,278,Quality Issue
RF00515,O000969,253,Cancelled
RF00516,O006259,145,Late Delivery
RF00517,O006378,254,Wrong Item
RF00518,O011972,404,Late Delivery
RF00519,O018086,120,Wrong Item
RF00520,O011208,123,Cancelled
RF00521,O019519,499,Wrong Item
RF00522,O009732,133,Late Delivery
RF00523,O002191,340,Late Delivery
RF00524,O014939,426,Late Delivery
RF00525,O005185,235,Late Delivery
RF00526,O015644,97,Late Delivery
RF00527,O010430,201,Late Delivery
RF00528,O015058,226,Wrong Item
RF00529,O014748,357,Late Delivery
RF00530,O002396,222,Late Delivery
RF00531,O002641,340,Wrong Item
RF00532,O016472,67,Cancelled
RF00533,O012935,165,Cancelled
RF00534,O001605,81,Quality Issue
RF00535,O001417,93,Late Delivery
RF00536,O017151,164,Late Delivery
RF00537,O000412,459,Wrong Item
RF00538,O016581,371,Cancelled
RF00539,O019269,308,Late Delivery
RF00540,O019948,294,Quality Issue
RF00541,O016851,417,Quality Issue
RF00542,O004328,385,Quality Issue
RF00543,O004502,397,Late Delivery
RF00544,O018931,134,Quality Issue
RF00545,O003504,414,Cancelled
RF00546,O008339,471,Late Delivery
RF00547,O019196,60,Quality Issue
RF00548,O010625,394,Quality Issue
RF00549,O017405,286,Late Delivery
RF00550,O016630,124,Late Delivery
RF00551,O017623,383,Late Delivery
RF00552,O002532,87,Late Delivery
RF00553,O017288,374,Late Delivery
RF00554,O000677,102,Late Delivery
RF00555,O000448,243,Late Delivery
RF00556,O012225,488,Wrong Item
RF00557,O009082,460,Cancelled
RF00558,O013012,442,Quality Issue
RF00559,O014472,278,Cancelled
RF00560,O016282,212,Quality Issue
RF00561,O005807,205,Late Delivery
RF00562,O011174,124,Wrong Item
RF00563,O001386,432,Late Delivery
RF00564,O015270,388,Wrong Item
RF00565,O014107,180,Wrong Item
RF00566,O019928,259,Late Delivery
RF00567,O005689,438,Cancelled
RF00568,O000983,305,Wrong Item
RF00569,O013734,72,Late Delivery
RF00570,O016916,458,Wrong Item
RF00571,O004169,368,Cancelled
RF00572,O014832,165,Quality Issue
RF00573,O000446,141,Quality Issue
RF00574,O016241,430,Quality Issue
RF00575,O007372,173,Cancelled
RF00576,O016580,181,Wrong Item
RF00577,O008918,116,Wrong Item
RF00578,O001756,389,Late Delivery
RF00579,O000312,437,Wrong Item
RF00580,O016728,227,Wrong Item
RF00581,O013594,199,Late Delivery
RF00582,O002959,253,Quality Issue
RF00583,O003150,370,Late Delivery
RF00584,O012119,78,Cancelled
RF00585,O009806,245,Late Delivery
RF00586,O008955,182,Late Delivery
RF00587,O017993,364,Quality Issue
RF00588,O009266,500,Late Delivery
RF00589,O007639,368,Quality Issue
RF00590,O014785,169,Cancelled
RF00591,O006058,254,Late Delivery
RF00592,O016838,180,Cancelled
RF00593,O010725,440,Quality Issue
RF00594,O011992,225,Cancelled
RF00595,O005319,486,Late Delivery
RF00596,O014320,220,Cancelled
RF00597,O005591,357,Quality Issue
RF00598,O012987,224,Late Delivery
RF00599,O001975,370,Quality Issue
RF00600,O019909,152,Late Delivery
RF00601,O000087,66,Cancelled
RF00602,O018685,124,Late Delivery
RF00603,O009022,285,Cancelled
RF00604,O016235,405,Quality Issue
RF00605,O009987,270,Quality Issue
RF00606,O002703,211,Wrong Item
RF00607,O003993,397,Cancelled
RF00608,O012570,259,Late Delivery
RF00609,O012600,287,Quality Issue
RF00610,O002450,51,Wrong Item
RF00611,O008683,260,Cancelled
RF00612,O005823,138,Wrong Item
RF00613,O014837,59,Wrong Item
RF00614,O002337,313,Late Delivery
RF00615,O009080,396,Cancelled
RF00616,O014691,405,Late Delivery
RF00617,O018893,268,Quality Issue
RF00618,O019539,408,Wrong Item
RF00619,O012231,257,Quality Issue
RF00620,O013446,101,Cancelled
RF00621,O001600,149,Cancelled
RF00622,O015941,182,Late Delivery
RF00623,O019258,102,Cancelled
RF00624,O019867,109,Cancelled
RF00625,O002907,321,Wrong Item
RF00626,O003199,326,Late Delivery
RF00627,O015098,174,Cancelled
RF00628,O003928,347,Wrong Item
RF00629,O002011,158,Cancelled
RF00630,O011110,51,Wrong Item
RF00631,O008589,240,Cancelled
RF00632,O008106,296,Late Delivery
RF00633,O019552,177,Quality Issue
RF00634,O017279,362,Quality Issue
RF00635,O015308,335,Cancelled
RF00636,O004277,189,Late Delivery
RF00637,O004164,172,Late Delivery
RF00638,O007581,486,Wrong Item
RF00639,O007396,290,Quality Issue
RF00640,O012312,424,Cancelled
RF00641,O001775,482,Cancelled
RF00642,O009025,357,Cancelled
RF00643,O005741,475,Late Delivery
RF00644,O008399,440,Quality Issue
RF00645,O004270,483,Late Delivery
RF00646,O010011,168,Cancelled
RF00647,O000755,300,Cancelled
RF00648,O007710,389,Late Delivery
RF00649,O016664,170,Late Delivery
RF00650,O010898,208,Cancelled
RF00651,O008040,141,Cancelled
RF00652,O010070,285,Cancelled
RF00653,O007041,385,Wrong Item
RF00654,O003303,187,Wrong Item
RF00655,O006321,226,Quality Issue
RF00656,O015518,290,Late Delivery
RF00657,O010222,80,Cancelled
RF00658,O013190,463,Wrong Item
RF00659,O019617,290,Quality Issue
RF00660,O011516,82,Wrong Item
RF00661,O012928,61,Quality Issue
RF00662,O015064,320,Wrong Item
RF00663,O000878,167,Late Delivery
RF00664,O008483,50,Wrong Item
RF00665,O005581,163,Quality Issue
RF00666,O000901,58,Wrong Item
RF00667,O005504,120,Cancelled
RF00668,O019413,465,Cancelled
RF00669,O014087,165,Wrong Item
RF00670,O011472,88,Wrong Item
RF00671,O009882,482,Wrong Item
RF00672,O014055,458,Quality Issue
RF00673,O011585,338,Late Delivery
RF00674,O019296,374,Cancelled
RF00675,O016574,413,Quality Issue
RF00676,O013006,249,Late Delivery
RF00677,O000985,377,Wrong Item
RF00678,O019501,328,Cancelled
RF00679,O014209,54,Late Delivery
RF00680,O018617,190,Quality Issue
RF00681,O014306,226,Quality Issue
RF00682,O017254,366,Wrong Item
RF00683,O014040,274,Wrong Item
RF00684,O005293,441,Late Delivery
RF00685,O009563,302,Cancelled
RF00686,O004329,77,Wrong Item
RF00687,O016197,445,Late Delivery
RF00688,O002356,347,Wrong Item
RF00689,O000356,137,Late Delivery
RF00690,O016532,144,Cancelled
RF00691,O013025,470,Quality Issue
RF00692,O008185,352,Late Delivery
RF00693,O002250,299,Cancelled
RF00694,O019649,235,Late Delivery
RF00695,O014825,403,Late Delivery
RF00696,O000405,384,Late Delivery
RF00697,O015686,342,Cancelled
RF00698,O012578,289,Quality Issue
RF00699,O009592,374,Wrong Item
RF00700,O010538,286,Quality Issue
RF00701,O004782,88,Quality Issue
RF00702,O005732,164,Cancelled
RF00703,O002273,119,Late Delivery
RF00704,O014182,235,Late Delivery
RF00705,O019327,405,Cancelled
RF00706,O019031,252,Quality Issue
RF00707,O006464,207,Quality Issue
RF00708,O000708,458,Late Delivery
RF00709,O010036,309,Quality Issue
RF00710,O009115,235,Cancelled
RF00711,O001836,275,Late Delivery
RF00712,O001797,201,Quality Issue
RF00713,O016647,200,Cancelled
RF00714,O014575,422,Wrong Item
RF00715,O001834,470,Wrong Item
RF00716,O005445,388,Quality Issue
RF00717,O016622,256,Wrong Item
RF00718,O005550,482,Quality Issue
RF00719,O005138,174,Wrong Item
RF00720,O017182,156,Late Delivery
RF00721,O015527,479,Wrong Item
RF00722,O017790,337,Quality Issue
RF00723,O018440,183,Late Delivery
RF00724,O017896,399,Wrong Item
RF00725,O013325,489,Late Delivery
RF00726,O002324,419,Cancelled
RF00727,O011305,59,Quality Issue
RF00728,O018507,58,Late Delivery
RF00729,O019092,407,Late Delivery
RF00730,O010060,127,Cancelled
RF00731,O014596,227,Cancelled
RF00732,O001719,427,Quality Issue
RF00733,O015763,365,Wrong Item
RF00734,O003698,418,Quality Issue
RF00735,O017980,283,Quality Issue
RF00736,O009570,335,Wrong Item
RF00737,O002819,326,Cancelled
RF00738,O013245,471,Quality Issue
RF00739,O008596,256,Wrong Item
RF00740,O009497,188,Cancelled
RF00741,O003986,271,Late Delivery
RF00742,O017062,63,Quality Issue
RF00743,O002988,310,Wrong Item
RF00744,O015792,443,Late Delivery
RF00745,O014762,499,Late Delivery
RF00746,O008598,115,Wrong Item
RF00747,O009530,81,Quality Issue
RF00748,O014034,411,Quality Issue
RF00749,O019282,114,Cancelled
RF00750,O001664,258,Quality Issue
RF00751,O003436,75,Wrong Item
RF00752,O017358,103,Quality Issue
RF00753,O017024,469,Cancelled
RF00754,O002001,138,Wrong Item
RF00755,O016147,493,Cancelled
RF00756,O015883,278,Quality Issue
RF00757,O000312,212,Wrong Item
RF00758,O019094,167,Cancelled
RF00759,O011873,76,Quality Issue
RF00760,O016809,148,Wrong Item
RF00761,O007198,274,Wrong Item
RF00762,O013735,447,Cancelled
RF00763,O006580,149,Cancelled
RF00764,O000302,182,Cancelled
RF00765,O012410,98,Late Delivery
RF00766,O012919,182,Quality Issue
RF00767,O000409,247,Cancelled
RF00768,O008912,140,Cancelled
RF00769,O014237,385,Late Delivery
RF00770,O016373,416,Cancelled
RF00771,O017003,117,Late Delivery
RF00772,O011309,82,Cancelled
RF00773,O005082,186,Cancelled
RF00774,O003737,313,Quality Issue
RF00775,O010453,137,Quality Issue
RF00776,O008851,269,Cancelled
RF00777,O000575,156,Quality Issue
RF00778,O014698,220,Late Delivery
RF00779,O010126,206,Cancelled
RF00780,O001919,379,Quality Issue
RF00781,O008875,169,Quality Issue
RF00782,O004401,161,Cancelled
RF00783,O007421,377,Late Delivery
RF00784,O001809,496,Late Delivery
RF00785,O013804,280,Cancelled
RF00786,O019978,414,Wrong Item
