OrderItemID,OrderID,MenuID,Quantity
OI000208,O011169,M099,2
OI000209,O012505,M131,2
OI000210,O010444,M224,2
OI000211,O000520,M006,1
OI000212,O008370,M052,2
OI000213,O005487,M012,2
OI000214,O004504,M067,3
OI000215,O010302,M135,1
OI000216,O003775,M244,1
OI000217,O009246,M226,2
OI000218,O009231,M155,2
OI000219,O005467,M138,2
OI000220,O012350,M049,3
OI000221,O011638,M195,2
OI000222,O006088,M223,3
OI000223,O008986,M145,3
OI000224,O003885,M048,2
OI000225,O014614,M184,2
OI000226,O018532,M045,3
OI000227,O001102,M025,2
OI000228,O017342,M012,1
OI000229,O002646,M071,3
OI000230,O018196,M026,2
OI000231,O015403,M051,1
OI000232,O011536,M136,2
OI000233,O013207,M166,1
OI000234,O018933,M062,1
OI000235,O010222,M105,3
OI000236,O018603,M098,3
OI000237,O007988,M013,2
OI000238,O012737,M137,3
OI000239,O003528,M245,1
OI000240,O007300,M186,3
OI000241,O016637,M087,2
OI000242,O006163,M052,2
OI000243,O017394,M070,2
OI000244,O008480,M160,3
OI000245,O014441,M107,2
OI000246,O013728,M173,1
OI000247,O011750,M250,1
OI000248,O017700,M121,1
OI000249,O002160,M070,1
OI000250,O001948,M242,2
OI000251,O002826,M161,1
OI000252,O003669,M226,2
OI000253,O005419,M011,2
OI000254,O018440,M009,3
OI000255,O018961,M161,3
OI000256,O005327,M019,2
OI000257,O001427,M022,2
OI000258,O014426,M223,2
OI000259,O012859,M093,3
OI000260,O019391,M194,3
OI000261,O007618,M121,2
OI000262,O016731,M032,3
OI000263,O006431,M119,2
OI000264,O015035,M069,1
OI000265,O001072,M237,3
OI000266,O010061,M141,2
OI000267,O019421,M054,3
OI000268,O002290,M028,1
OI000269,O008286,M146,3
OI000270,O006238,M072,1
OI000271,O004082,M041,3
OI000272,O007989,M108,2
OI000273,O000831,M105,1
OI000274,O001492,M022,2
OI000275,O010357,M133,2
OI000276,O003352,M047,2
OI000277,O017248,M154,1
OI000278,O005604,M179,3
OI000279,O014986,M031,1
OI000280,O000593,M008,2
OI000281,O009695,M149,3
OI000282,O000061,M231,3
OI000283,O001685,M247,1
OI000284,O017242,M088,3
OI000285,O002831,M224,3
OI000286,O019461,M165,3
OI000287,O004746,M208,2
OI000288,O007822,M104,2
OI000289,O018097,M209,3
OI000290,O019598,M020,3
OI000291,O001228,M224,2
OI000292,O012915,M054,3
OI000293,O015032,M179,2
OI000294,O019336,M148,3
OI000295,O001522,M044,3
OI000296,O007597,M099,2
OI000297,O008872,M023,1
OI000298,O011897,M054,3
OI000299,O018780,M225,3
OI000300,O000977,M250,2
OI000301,O011897,M068,1
OI000302,O017572,M048,1
OI000303,O000126,M127,2
OI000304,O004390,M110,1
OI000305,O007963,M192,3
OI000306,O006485,M237,2
OI000307,O014114,M226,2
OI000308,O001071,M200,3
OI000309,O012949,M039,1
OI000310,O003850,M082,2
OI000311,O003766,M246,2
OI000312,O005806,M229,1
OI000313,O014573,M017,3
OI000314,O012090,M107,2
OI000315,O014024,M025,2
OI000316,O000185,M205,1
OI000317,O005927,M049,1
OI000318,O007430,M066,3
OI000319,O008595,M025,2
OI000320,O006609,M074,1
OI000321,O002875,M101,3
OI000322,O017159,M128,3
OI000323,O014082,M144,2
OI000324,O018373,M153,3
OI000325,O014425,M028,1
OI000326,O019012,M160,1
OI000327,O014915,M143,1
OI000328,O000250,M235,3
OI000329,O014979,M115,1
OI000330,O004484,M128,1
OI000331,O009952,M170,2
OI000332,O019381,M132,2
OI000333,O015267,M152,1
OI000334,O005269,M198,2
OI000335,O001709,M010,3
OI000336,O013064,M169,1
OI000337,O003760,M030,1
OI000338,O015730,M107,1
OI000339,O007343,M226,3
OI000340,O006712,M129,2
OI000341,O003820,M119,2
OI000342,O003839,M058,1
OI000343,O008177,M097,1
OI000344,O003135,M118,3
OI000345,O018679,M174,1
OI000346,O006499,M067,3
OI000347,O001762,M082,2
OI000348,O017445,M001,2
OI000349,O013437,M041,3
OI000350,O013651,M159,2
OI000351,O002213,M239,3
OI000352,O017997,M144,2
OI000353,O007471,M153,3
OI000354,O017595,M151,2
OI000355,O003614,M242,3
OI000356,O011328,M080,3
OI000357,O017633,M127,2
OI000358,O014505,M015,2
OI000359,O005945,M237,1
OI000360,O012524,M149,3
OI000361,O008695,M166,3
OI000362,O001399,M138,3
OI000363,O009714,M211,2
OI000364,O014150,M130,2
OI000365,O006801,M084,1
OI000366,O002743,M178,3
OI000367,O009007,M117,2
OI000368,O019777,M018,3
OI000369,O010013,M011,2
OI000370,O018240,M192,1
OI000371,O009823,M133,2
OI000372,O007284,M018,2
OI000373,O009337,M068,3
OI000374,O011492,M103,1
OI000375,O015897,M006,2
OI000376,O007521,M144,3
OI000377,O002195,M106,1
OI000378,O017001,M138,1
OI000379,O002683,M165,1
OI000380,O013021,M178,1
OI000381,O018489,M218,3
OI000382,O008762,M129,3
OI000383,O010242,M233,1
OI000384,O003023,M072,3
OI000385,O009332,M227,1
OI000386,O003195,M203,2
OI000387,O017498,M095,3
OI000388,O005697,M134,1
OI000389,O006897,M140,1
OI000390,O013358,M177,3
OI000391,O019318,M049,2
OI000392,O013780,M028,2
OI000393,O012143,M090,3
OI000394,O014918,M077,3
OI000395,O002475,M112,2
OI000396,O012310,M138,1
OI000397,O014015,M175,1
OI000398,O008799,M114,3
OI000399,O014599,M085,1
OI000400,O008039,M136,3
OI000401,O008886,M105,3
OI000402,O019121,M213,1
OI000403,O000610,M036,2
OI000404,O019149,M151,1
OI000405,O010892,M076,1
OI000406,O007908,M062,1
OI000407,O016081,M046,1
OI000408,O007123,M127,1
OI000409,O017934,M170,3
OI000410,O005785,M036,3
OI000411,O012174,M105,1
OI000412,O001634,M110,3
OI000413,O010960,M198,1
OI000414,O017972,M020,2
OI000415,O017555,M171,1
OI000416,O009386,M238,3
OI000417,O014791,M049,1
OI000418,O012380,M121,2
OI000419,O011975,M157,2
OI000420,O011551,M194,2
OI000421,O008198,M092,3
OI000422,O010786,M042,3
OI000423,O000832,M105,3
OI000424,O002288,M067,3
OI000425,O018053,M146,3
OI000426,O011059,M055,1
OI000427,O012983,M056,1
OI000428,O003511,M041,1
OI000429,O006851,M143,2
OI000430,O010652,M227,3
OI000431,O001616,M242,2
OI000432,O018361,M164,3
OI000433,O005627,M163,3
OI000434,O019055,M152,1
OI000435,O017889,M034,2
OI000436,O003483,M177,2
OI000437,O004920,M153,2
OI000438,O009287,M217,1
OI000439,O006280,M171,3
OI000440,O016033,M093,3
OI000441,O002447,M151,2
OI000442,O019742,M032,2
OI000443,O005869,M106,2
OI000444,O015609,M150,2
OI000445,O015875,M174,3
OI000446,O015738,M148,3
OI000447,O008368,M078,2
OI000448,O014750,M063,2
OI000449,O001126,M049,2
OI000450,O008994,M007,1
OI000451,O001304,M229,3
OI000452,O001320,M003,3
OI000453,O012878,M188,1
OI000454,O012247,M062,1
OI000455,O018310,M157,2
OI000456,O004381,M028,3
OI000457,O007934,M110,1
OI000458,O018626,M139,3
OI000459,O014835,M200,1
OI000460,O016849,M005,2
OI000461,O005256,M241,1
OI000462,O015164,M147,2
OI000463,O006832,M147,3
OI000464,O006554,M069,2
OI000465,O003026,M209,1
OI000466,O006707,M002,1
OI000467,O005471,M090,3
OI000468,O012768,M016,1
OI000469,O002370,M166,2
OI000470,O019913,M079,3
OI000471,O000990,M053,2
OI000472,O000336,M108,2
OI000473,O012414,M126,1
OI000474,O013718,M177,1
OI000475,O019377,M243,1
OI000476,O009522,M042,1
OI000477,O003419,M144,1
OI000478,O017904,M009,1
OI000479,O016555,M199,3
OI000480,O014150,M219,1
OI000481,O007793,M176,2
OI000482,O004993,M055,2
OI000483,O000643,M142,2
OI000484,O000996,M054,1
OI000485,O008733,M153,1
OI000486,O000845,M121,3
OI000487,O015583,M085,1
OI000488,O010539,M230,3
OI000489,O015292,M231,1
OI000490,O004496,M221,3
OI000491,O014144,M218,3
OI000492,O006746,M218,3
OI000493,O010357,M201,1
OI000494,O012832,M092,1
OI000495,O000409,M057,3
OI000496,O002494,M150,3
OI000497,O008861,M165,1
OI000498,O013271,M243,3
OI000499,O002206,M110,1
OI000500,O017006,M175,2
OI000501,O007390,M164,3
OI000502,O000810,M141,1
OI000503,O008793,M056,3
OI000504,O001269,M105,1
OI000505,O004553,M040,1
OI000506,O010271,M209,3
OI000507,O005217,M155,2
OI000508,O003751,M017,3
OI000509,O003081,M112,1
OI000510,O013742,M216,1
OI000511,O016402,M088,3
OI000512,O010910,M214,2
OI000513,O015493,M123,1
OI000514,O017296,M129,3
OI000515,O009715,M215,1
OI000516,O004775,M026,2
OI000517,O000311,M212,1
OI000518,O009191,M087,3
OI000519,O003866,M036,1
OI000520,O013259,M147,3
OI000521,O015020,M034,1
OI000522,O008626,M022,2
OI000523,O002621,M007,3
OI000524,O009251,M076,1
OI000525,O013002,M194,1
OI000526,O010478,M052,2
OI000527,O011473,M020,2
OI000528,O005110,M158,1
OI000529,O015213,M009,3
OI000530,O012229,M188,1
OI000531,O012523,M001,1
OI000532,O016935,M249,2
OI000533,O012290,M025,2
OI000534,O005688,M216,1
OI000535,O013799,M025,1
OI000536,O008517,M216,2
OI000537,O018551,M074,1
OI000538,O005696,M141,1
OI000539,O005049,M159,2
OI000540,O007987,M055,2
OI000541,O002405,M153,2
OI000542,O001887,M226,1
OI000543,O005291,M137,3
OI000544,O007020,M250,1
OI000545,O003407,M081,2
OI000546,O007668,M021,1
OI000547,O018692,M026,1
OI000548,O008110,M239,1
OI000549,O001971,M095,3
OI000550,O001474,M076,1
OI000551,O002879,M179,2
OI000552,O014011,M125,1
OI000553,O019506,M031,2
OI000554,O012260,M175,2
OI000555,O012584,M165,3
OI000556,O006185,M010,1
OI000557,O016367,M150,1
OI000558,O006196,M061,3
OI000559,O006827,M037,2
OI000560,O001855,M197,1
OI000561,O001852,M193,2
OI000562,O007076,M043,2
OI000563,O013761,M149,1
OI000564,O001705,M110,3
OI000565,O009425,M003,2
OI000566,O015816,M067,3
OI000567,O004132,M109,2
OI000568,O006389,M002,2
OI000569,O008111,M041,3
OI000570,O009583,M234,3
OI000571,O000838,M023,3
OI000572,O005042,M230,1
OI000573,O014563,M224,2
OI000574,O002773,M061,3
OI000575,O001096,M088,1
OI000576,O019757,M026,2
OI000577,O011300,M052,3
OI000578,O015655,M104,1
OI000579,O002749,M070,3
OI000580,O008465,M098,1
OI000581,O001372,M028,2
OI000582,O015022,M007,1
OI000583,O015776,M146,1
OI000584,O008594,M145,2
OI000585,O019043,M153,2
OI000586,O000872,M155,3
OI000587,O011987,M164,1
OI000588,O013853,M143,2
OI000589,O017518,M196,3
OI000590,O007633,M246,1
OI000591,O015387,M028,3
OI000592,O015559,M161,2
OI000593,O015318,M113,2
OI000594,O004487,M058,1
OI000595,O019228,M139,2
OI000596,O001887,M103,3
OI000597,O017538,M178,1
OI000598,O014701,M119,2
OI000599,O014977,M120,2
OI000600,O006207,M115,3
OI000601,O019696,M222,2
OI000602,O011870,M046,3
OI000603,O000821,M104,3
OI000604,O000896,M168,1
OI000605,O010613,M151,2
OI000606,O007195,M176,3
OI000607,O017870,M053,2
OI000608,O008662,M131,3
OI000609,O006673,M047,2
OI000610,O005213,M040,2
OI000611,O004883,M130,3
OI000612,O009548,M043,3
OI000613,O008450,M105,2
OI000614,O012200,M098,3
OI000615,O003321,M199,2
OI000616,O016463,M204,1
OI000617,O000327,M187,3
OI000618,O003364,M012,1
OI000619,O017016,M042,1
OI000620,O015572,M119,1
OI000621,O000604,M182,3
OI000622,O007775,M068,1
OI000623,O003612,M231,3
OI000624,O017220,M096,3
OI000625,O015215,M206,1
OI000626,O001460,M156,2
OI000627,O016443,M106,3
OI000628,O002938,M219,3
OI000629,O005980,M079,3
OI000630,O015688,M077,2
OI000631,O017925,M218,1
OI000632,O018019,M127,3
OI000633,O003141,M249,2
OI000634,O006008,M203,3
OI000635,O004970,M215,1
OI000636,O018426,M243,3
OI000637,O017449,M014,2
OI000638,O002750,M207,2
OI000639,O013272,M097,1
OI000640,O010604,M170,3
OI000641,O009259,M187,1
OI000642,O008129,M027,2
OI000643,O008711,M149,3
OI000644,O000789,M137,1
OI000645,O014850,M061,2
OI000646,O004500,M116,1
OI000647,O016206,M182,2
OI000648,O016308,M191,2
OI000649,O009442,M018,2
OI000650,O005491,M085,2
OI000651,O001083,M141,1
OI000652,O016459,M020,3
OI000653,O019437,M014,2
OI000654,O003085,M147,2
OI000655,O002235,M075,3
OI000656,O015548,M191,1
OI000657,O013693,M139,3
OI000658,O007325,M095,3
OI000659,O000569,M079,2
OI000660,O009139,M134,2
OI000661,O017019,M053,1
OI000662,O013193,M104,3
OI000663,O017120,M060,2
OI000664,O016586,M193,1
OI000665,O012370,M049,1
OI000666,O012069,M113,1
OI000667,O011462,M155,1
OI000668,O013631,M122,3
OI000669,O002583,M007,3
OI000670,O016081,M243,1
OI000671,O012163,M150,2
OI000672,O019012,M067,2
OI000673,O007392,M181,1
OI000674,O012753,M213,3
OI000675,O001137,M180,2
OI000676,O009311,M112,2
OI000677,O002666,M215,2
OI000678,O006457,M233,3
OI000679,O010213,M123,3
OI000680,O004114,M089,1
OI000681,O007364,M217,2
OI000682,O009697,M074,1
OI000683,O017512,M104,2
OI000684,O008886,M156,2
OI000685,O008079,M100,2
OI000686,O010758,M132,2
OI000687,O007043,M226,1
OI000688,O007518,M082,1
OI000689,O010822,M158,1
OI000690,O004141,M111,2
OI000691,O011645,M010,2
OI000692,O013316,M191,1
OI000693,O005363,M158,3
OI000694,O004606,M044,1
OI000695,O003423,M224,2
OI000696,O019370,M153,3
OI000697,O016575,M043,2
OI000698,O005495,M136,2
OI000699,O014724,M211,2
OI000700,O011535,M047,3
OI000701,O005512,M232,3
OI000702,O014784,M005,2
OI000703,O000540,M093,2
OI000704,O002591,M123,1
OI000705,O006132,M206,1
OI000706,O009279,M078,1
OI000707,O018955,M191,2
OI000708,O018696,M055,2
OI000709,O005673,M209,2
OI000710,O007546,M035,1
OI000711,O005524,M218,2
OI000712,O019382,M213,3
OI000713,O019500,M149,2
OI000714,O000653,M071,1
OI000715,O019948,M045,3
OI000716,O007471,M053,2
OI000717,O008526,M243,2
OI000718,O008791,M155,1
OI000719,O011158,M080,2
OI000720,O013712,M004,1
OI000721,O012487,M103,2
OI000722,O009845,M213,2
OI000723,O005879,M067,1
OI000724,O004502,M145,3
OI000725,O004100,M150,3
OI000726,O006405,M057,2
OI000727,O008339,M100,1
OI000728,O013182,M069,2
OI000729,O009219,M079,3
OI000730,O001713,M190,2
OI000731,O011293,M111,3
OI000732,O009614,M228,1
OI000733,O015120,M039,3
OI000734,O008264,M178,3
OI000735,O006926,M035,3
OI000736,O000967,M248,1
OI000737,O009240,M098,1
OI000738,O005370,M228,2
OI000739,O006674,M085,1
OI000740,O017201,M224,3
OI000741,O000876,M154,2
OI000742,O016025,M164,3
OI000743,O003739,M122,3
OI000744,O013162,M149,3
OI000745,O000674,M097,1
OI000746,O007197,M027,3
OI000747,O013554,M112,3
OI000748,O014496,M212,2
OI000749,O010876,M206,2
OI000750,O015683,M168,2
OI000751,O015526,M215,3
OI000752,O004794,M108,2
OI000753,O007899,M100,2
OI000754,O014310,M231,2
OI000755,O019810,M178,1
OI000756,O006725,M126,3
OI000757,O001172,M015,2
OI000758,O005011,M167,3
OI000759,O009943,M061,3
OI000760,O013740,M109,3
OI000761,O003532,M017,3
OI000762,O017233,M128,3
OI000763,O005970,M110,3
OI000764,O008496,M234,1
OI000765,O018546,M082,3
OI000766,O017341,M065,3
OI000767,O003929,M215,1
OI000768,O006354,M152,2
OI000769,O011969,M090,3
OI000770,O018584,M019,3
OI000771,O010447,M196,3
OI000772,O016624,M137,1
OI000773,O012539,M122,1
OI000774,O014832,M074,3
OI000775,O010215,M057,2
OI000776,O002445,M222,2
OI000777,O003149,M174,3
OI000778,O008860,M206,1
OI000779,O005801,M110,3
OI000780,O011849,M212,3
OI000781,O004342,M191,3
OI000782,O003583,M069,1
OI000783,O014034,M230,2
OI000784,O000801,M208,3
OI000785,O009756,M069,1
OI000786,O011401,M076,2
OI000787,O008409,M187,1
OI000788,O002732,M114,2
OI000789,O018190,M212,1
OI000790,O014506,M066,2
OI000791,O019519,M236,1
OI000792,O017624,M192,2
OI000793,O008013,M246,2
OI000794,O005844,M247,3
OI000795,O016744,M120,1
OI000796,O011919,M038,1
OI000797,O012176,M104,3
OI000798,O006930,M131,1
OI000799,O018092,M073,2
OI000800,O004371,M136,1
OI000801,O010334,M152,3
OI000802,O015181,M023,3
OI000803,O017450,M025,1
OI000804,O000952,M175,2
OI000805,O017542,M009,2
OI000806,O004451,M060,3
OI000807,O008021,M108,1
OI000808,O005759,M044,1
OI000809,O015475,M016,1
OI000810,O002416,M137,3
OI000811,O009871,M023,1
OI000812,O005007,M187,3
OI000813,O011098,M113,3
OI000814,O003769,M249,2
OI000815,O014285,M068,3
OI000816,O018362,M105,3
OI000817,O014211,M079,3
OI000818,O015007,M222,3
OI000819,O012321,M105,3
OI000820,O001120,M234,1
OI000821,O018549,M124,3
OI000822,O006178,M126,2
OI000823,O017620,M195,2
OI000824,O005986,M201,1
OI000825,O009001,M213,1
OI000826,O015829,M238,3
OI000827,O018275,M069,1
OI000828,O019050,M058,2
OI000829,O017918,M175,2
OI000830,O003114,M057,1
OI000831,O018888,M099,3
OI000832,O016356,M240,2
OI000833,O011184,M035,2
OI000834,O009128,M106,2
OI000835,O011335,M189,2
OI000836,O002284,M174,3
OI000837,O008403,M055,3
OI000838,O016746,M041,1
OI000839,O009460,M109,3
OI000840,O000114,M006,1
OI000841,O018652,M134,3
OI000842,O018873,M015,3
OI000843,O011338,M018,3
OI000844,O019109,M119,3
OI000845,O002170,M023,2
OI000846,O000215,M247,2
OI000847,O012618,M214,2
OI000848,O001493,M202,3
OI000849,O001911,M218,2
OI000850,O005339,M171,2
OI000851,O000255,M179,2
OI000852,O000396,M114,2
OI000853,O011469,M211,3
OI000854,O005308,M098,1
OI000855,O000606,M211,3
OI000856,O008831,M104,2
OI000857,O011689,M111,3
OI000858,O003246,M189,3
OI000859,O018398,M003,3
OI000860,O002013,M079,1
OI000861,O000076,M162,3
OI000862,O010847,M219,3
OI000863,O005406,M027,1
OI000864,O012043,M055,1
OI000865,O003260,M028,2
OI000866,O010250,M031,2
OI000867,O006308,M028,2
OI000868,O011105,M243,2
OI000869,O009602,M109,1
OI000870,O007050,M141,1
OI000871,O007630,M237,2
OI000872,O016425,M191,2
OI000873,O011486,M134,1
OI000874,O013551,M086,2
OI000875,O005952,M177,1
OI000876,O019983,M002,1
OI000877,O018205,M067,3
OI000878,O009060,M084,2
OI000879,O000107,M026,3
OI000880,O019764,M224,1
OI000881,O016966,M199,3
OI000882,O015838,M167,3
OI000883,O014972,M205,2
OI000884,O003480,M166,2
OI000885,O018339,M174,2
OI000886,O005394,M201,2
OI000887,O013551,M046,1
OI000888,O008130,M101,2
OI000889,O012255,M007,2
OI000890,O006435,M204,3
OI000891,O005875,M130,2
OI000892,O011804,M036,1
OI000893,O010172,M225,2
OI000894,O013059,M229,2
OI000895,O016496,M066,2
OI000896,O008392,M012,2
OI000897,O000775,M144,2
OI000898,O010634,M216,2
OI000899,O017997,M188,3
OI000900,O018792,M001,1
OI000901,O005280,M227,2
OI000902,O011575,M248,1
OI000903,O011007,M236,1
OI000904,O010206,M099,1
OI000905,O015457,M061,3
OI000906,O019623,M147,2
OI000907,O002815,M218,3
OI000908,O011723,M105,1
OI000909,O010173,M112,2
OI000910,O009511,M088,1
OI000911,O006857,M142,3
OI000912,O008324,M238,2
OI000913,O009384,M222,1
OI000914,O009189,M033,1
OI000915,O015818,M010,2
OI000916,O010890,M095,1
OI000917,O001681,M043,1
OI000918,O001771,M007,1
OI000919,O002362,M160,3
OI000920,O002354,M161,1
OI000921,O003248,M033,1
OI000922,O011323,M207,1
OI000923,O015735,M234,2
OI000924,O001457,M072,2
OI000925,O012397,M145,1
OI000926,O001246,M155,3
OI000927,O005412,M162,3
OI000928,O013173,M169,1
OI000929,O001979,M165,2
OI000930,O019029,M229,1
OI000931,O001729,M063,3
OI000932,O004949,M167,2
OI000933,O002313,M078,1
OI000934,O018053,M202,2
OI000935,O012209,M176,3
OI000936,O010274,M114,1
OI000937,O011692,M201,1
OI000938,O018821,M240,3
OI000939,O010312,M201,1
OI000940,O001669,M152,3
OI000941,O011120,M114,1
OI000942,O014593,M016,3
OI000943,O019461,M044,1
OI000944,O005437,M049,3
OI000945,O001747,M051,1
OI000946,O007484,M008,2
OI000947,O004289,M085,3
OI000948,O011484,M029,3
OI000949,O000263,M022,2
OI000950,O013627,M105,2
OI000951,O002888,M157,3
OI000952,O013135,M037,1
OI000953,O016366,M163,1
OI000954,O008916,M158,2
OI000955,O012152,M121,3
OI000956,O006636,M228,3
OI000957,O009520,M023,1
OI000958,O017363,M086,3
OI000959,O006030,M007,2
OI000960,O006755,M089,2
OI000961,O018008,M203,3
OI000962,O001980,M158,2
OI000963,O009377,M118,1
OI000964,O017974,M209,2
OI000965,O016456,M023,1
OI000966,O008296,M172,1
OI000967,O013312,M060,3
OI000968,O017811,M160,3
OI000969,O000227,M097,3
OI000970,O011253,M219,3
OI000971,O003600,M139,3
OI000972,O019274,M123,2
OI000973,O012372,M158,2
OI000974,O006799,M167,3
OI000975,O000644,M055,3
OI000976,O017952,M185,2
OI000977,O008687,M041,1
OI000978,O001531,M102,1
OI000979,O019050,M215,1
OI000980,O006106,M249,1
OI000981,O011484,M240,2
OI000982,O002364,M095,2
OI000983,O017071,M106,2
OI000984,O007227,M085,2
OI000985,O012851,M064,3
OI000986,O014101,M193,1
OI000987,O016031,M157,2
OI000988,O010987,M145,3
OI000989,O002043,M131,1
OI000990,O007337,M184,3
OI000991,O011932,M149,1
OI000992,O016196,M118,1
OI000993,O011117,M226,3
OI000994,O015478,M077,2
OI000995,O015494,M101,2
OI000996,O009732,M036,2
