InventoryID,KitchenID,Ingredient,StockQty,WasteQty,ReorderLevel
I00109,K012,Flour,208,18,49
I00110,K035,Spices,331,16,79
I00111,K016,Spices,435,14,57
I00112,K041,Rice,388,8,64
I00113,K050,Chicken,191,20,52
I00114,K004,Milk,243,21,64
I00115,K040,Flour,500,4,43
I00116,K047,Tomato,496,20,119
I00117,K015,Spices,368,6,101
I00118,K044,Milk,392,13,104
I00119,K008,Onion,467,2,101
I00120,K040,Spices,489,16,73
I00121,K030,Oil,452,3,31
I00122,K041,Oil,403,20,140
I00123,K007,Oil,146,20,85
I00124,K039,Milk,277,0,46
I00125,K015,Oil,107,4,103
I00126,K046,Rice,355,21,83
I00127,K045,Flour,50,6,35
I00128,K026,Cheese,74,1,132
I00129,K036,Oil,155,13,44
I00130,K038,Flour,163,23,98
I00131,K030,Flour,326,21,79
I00132,K028,Chicken,222,8,44
I00133,K047,Tomato,139,19,91
I00134,K044,Chicken,84,7,78
I00135,K027,Milk,210,5,122
I00136,K029,Onion,84,7,74
I00137,K012,Paneer,175,19,130
I00138,K046,Milk,455,0,78
I00139,K047,Flour,81,21,76
I00140,K014,Rice,433,4,146
I00141,K003,Flour,349,12,109
I00142,K034,Flour,446,20,133
I00143,K038,Oil,322,15,141
I00144,K009,Rice,366,19,38
I00145,K039,Onion,164,18,92
I00146,K003,Flour,231,24,32
I00147,K010,Flour,301,15,40
I00148,K017,Onion,268,15,39
I00149,K025,Oil,338,22,67
I00150,K041,Flour,480,12,114
I00151,K002,Oil,313,14,95
I00152,K045,Chicken,296,12,144
I00153,K040,Flour,324,14,54
I00154,K045,Tomato,452,7,71
I00155,K002,Oil,194,12,97
I00156,K017,Chicken,257,16,102
I00157,K048,Tomato,309,4,65
I00158,K018,Flour,172,19,132
I00159,K003,Onion,432,16,98
I00160,K026,Paneer,93,3,132
I00161,K041,Spices,296,22,141
I00162,K017,Paneer,410,17,121
I00163,K009,Flour,32,15,43
I00164,K008,Onion,438,15,48
I00165,K048,Flour,220,17,95
I00166,K006,Flour,138,4,129
I00167,K016,Flour,186,24,79
I00168,K027,Milk,430,7,86
I00169,K026,Milk,275,2,114
I00170,K011,Oil,229,14,82
I00171,K010,Spices,337,14,47
I00172,K029,Cheese,332,24,145
I00173,K014,Oil,127,24,121
I00174,K033,Oil,257,19,116
I00175,K029,Milk,298,25,39
I00176,K048,Flour,491,9,93
I00177,K017,Flour,346,7,74
I00178,K039,Spices,357,19,55
I00179,K007,Oil,235,19,79
I00180,K002,Chicken,396,5,89
I00181,K029,Onion,226,1,72
I00182,K039,Paneer,37,19,103
I00183,K034,Rice,324,18,112
I00184,K002,Cheese,141,6,87
I00185,K037,Paneer,478,14,72
I00186,K030,Paneer,109,23,34
I00187,K041,Tomato,368,0,100
I00188,K023,Paneer,424,6,125
I00189,K020,Oil,142,24,149
I00190,K022,Cheese,240,19,67
I00191,K018,Cheese,266,0,66
I00192,K005,Cheese,324,23,143
I00193,K045,Milk,479,14,87
I00194,K029,Tomato,135,5,36
I00195,K024,Spices,494,15,33
I00196,K043,Milk,44,17,138
I00197,K042,Tomato,489,21,48
I00198,K048,Chicken,123,21,40
I00199,K050,Flour,248,21,88
I00200,K025,Spices,467,13,43
I00201,K036,Spices,483,20,133
I00202,K032,Paneer,309,3,68
I00203,K034,Flour,224,5,74
I00204,K003,Onion,428,15,105
I00205,K006,Oil,427,11,91
I00206,K033,Tomato,226,0,68
I00207,K039,Rice,239,19,117
I00208,K017,Chicken,374,16,82
I00209,K005,Flour,119,21,50
I00210,K020,Paneer,187,15,115
I00211,K005,Tomato,174,17,148
I00212,K016,Rice,383,8,34
I00213,K030,Paneer,184,17,112
I00214,K037,Chicken,66,22,46
I00215,K037,Onion,387,11,47
I00216,K016,Milk,247,7,30
I00217,K001,Paneer,195,11,80
I00218,K012,Paneer,273,2,75
I00219,K039,Oil,244,21,65
I00220,K027,Chicken,160,4,131
I00221,K019,Onion,239,12,122
I00222,K008,Cheese,330,23,93
I00223,K003,Oil,231,15,87
I00224,K047,Cheese,173,12,43
I00225,K049,Cheese,407,4,71
I00226,K043,Oil,69,5,148
I00227,K001,Tomato,239,12,148
I00228,K002,Cheese,404,25,36
I00229,K012,Flour,324,19,60
I00230,K024,Spices,64,23,38
I00231,K031,Tomato,305,21,71
I00232,K038,Onion,198,16,99
I00233,K030,Chicken,300,16,135
I00234,K001,Chicken,152,3,113
I00235,K033,Tomato,489,14,128
I00236,K049,Tomato,48,14,106
I00237,K043,Chicken,290,21,72
I00238,K018,Cheese,432,14,138
I00239,K032,Onion,108,24,135
I00240,K016,Flour,302,17,45
I00241,K041,Paneer,150,20,43
I00242,K037,Tomato,270,14,43
I00243,K032,Cheese,233,22,133
I00244,K040,Spices,206,13,108
I00245,K011,Cheese,349,6,91
I00246,K026,Milk,149,14,57
I00247,K033,Spices,451,17,34
I00248,K015,Rice,484,14,34
I00249,K011,Flour,319,24,105
I00250,K026,Milk,65,22,147
I00251,K032,Spices,361,14,55
I00252,K038,Onion,279,0,31
I00253,K016,Rice,274,25,83
I00254,K010,Chicken,310,2,70
I00255,K003,Cheese,205,8,142
I00256,K035,Tomato,261,11,43
I00257,K031,Chicken,451,17,56
I00258,K040,Paneer,125,9,129
I00259,K050,Chicken,333,7,136
I00260,K043,Cheese,188,4,98
I00261,K009,Milk,443,19,52
I00262,K031,Milk,45,3,133
I00263,K002,Milk,426,17,31
I00264,K038,Milk,226,1,59
I00265,K027,Spices,145,12,149
I00266,K001,Oil,413,12,134
I00267,K044,Spices,97,9,98
I00268,K030,Chicken,216,20,108
I00269,K033,Chicken,204,24,137
I00270,K009,Paneer,369,16,61
I00271,K043,Onion,346,4,83
I00272,K028,Chicken,303,9,147
I00273,K013,Flour,259,25,39
I00274,K034,Paneer,287,6,121
I00275,K002,Chicken,140,20,142
I00276,K007,Spices,494,0,79
I00277,K004,Milk,395,5,126
I00278,K010,Oil,185,22,85
I00279,K002,Oil,450,10,133
I00280,K041,Oil,228,23,73
I00281,K033,Rice,76,7,53
I00282,K014,Flour,450,21,35
I00283,K023,Cheese,270,16,57
I00284,K045,Spices,362,24,51
I00285,K036,Paneer,312,15,121
I00286,K034,Flour,165,19,90
I00287,K045,Rice,260,10,84
I00288,K003,Spices,116,4,56
I00289,K046,Cheese,258,24,146
I00290,K029,Cheese,251,20,33
I00291,K038,Flour,384,10,34
I00292,K050,Tomato,300,22,135
I00293,K041,Milk,195,1,57
I00294,K029,Onion,442,21,142
I00295,K035,Cheese,329,9,140
I00296,K021,Cheese,398,2,95
I00297,K038,Tomato,91,11,55
I00298,K035,Rice,234,19,40
I00299,K001,Cheese,352,3,101
I00300,K004,Chicken,452,1,94
I00301,K035,Flour,375,16,136
I00302,K035,Tomato,213,11,146
I00303,K004,Milk,325,0,108
I00304,K019,Cheese,155,21,94
I00305,K006,Spices,82,12,121
I00306,K049,Tomato,382,22,108
I00307,K039,Rice,136,12,123
I00308,K018,Chicken,244,24,94
I00309,K026,Onion,288,8,45
I00310,K024,Rice,433,24,83
I00311,K004,Milk,437,2,133
I00312,K006,Chicken,498,19,140
I00313,K014,Paneer,462,7,94
I00314,K038,Cheese,153,4,126
I00315,K002,Rice,428,16,93
I00316,K001,Tomato,203,15,93
I00317,K022,Rice,423,12,30
I00318,K014,Paneer,126,16,46
I00319,K046,Spices,57,15,96
I00320,K029,Cheese,221,18,89
I00321,K006,Onion,141,21,112
I00322,K010,Spices,400,9,61
I00323,K049,Flour,489,5,145
I00324,K041,Flour,47,0,127
I00325,K033,Onion,244,1,42
I00326,K035,Milk,150,3,68
I00327,K050,Flour,427,25,115
I00328,K030,Chicken,229,21,106
I00329,K015,Tomato,155,11,61
I00330,K048,Rice,273,19,136
I00331,K015,Rice,264,10,130
I00332,K033,Chicken,72,25,111
I00333,K033,Spices,319,23,84
I00334,K030,Chicken,107,3,86
I00335,K028,Milk,411,8,112
I00336,K027,Milk,283,3,68
I00337,K010,Chicken,320,21,98
I00338,K020,Tomato,207,16,121
I00339,K022,Tomato,289,16,73
I00340,K039,Chicken,301,4,32
I00341,K010,Cheese,359,6,136
I00342,K046,Spices,206,12,120
I00343,K037,Chicken,234,24,132
I00344,K012,Rice,470,25,133
I00345,K007,Spices,79,23,147
I00346,K018,Oil,441,14,145
I00347,K021,Oil,81,8,50
I00348,K012,Spices,359,13,125
I00349,K034,Chicken,447,6,61
I00350,K027,Paneer,310,18,76
I00351,K005,Flour,41,24,80
I00352,K033,Milk,173,2,128
I00353,K033,Paneer,460,7,109
I00354,K005,Onion,400,11,150
I00355,K007,Chicken,253,21,132
I00356,K019,Flour,193,14,75
I00357,K029,Tomato,162,1,129
I00358,K035,Tomato,70,17,112
I00359,K016,Oil,223,9,31
I00360,K012,Flour,71,5,115
I00361,K018,Milk,389,19,38
I00362,K026,Flour,135,23,124
I00363,K004,Tomato,468,20,103
I00364,K012,Milk,228,19,112
I00365,K017,Paneer,216,3,134
I00366,K029,Oil,86,13,88
I00367,K025,Onion,217,17,58
I00368,K034,Chicken,358,13,83
I00369,K047,Tomato,358,20,109
I00370,K013,Chicken,409,9,92
I00371,K022,Tomato,95,0,72
I00372,K049,Paneer,136,7,134
I00373,K041,Paneer,39,22,58
I00374,K041,Rice,449,13,139
I00375,K019,Milk,28,23,70
I00376,K007,Oil,219,25,68
I00377,K039,Flour,285,19,38
I00378,K009,Onion,395,15,110
I00379,K034,Flour,376,20,100
I00380,K001,Tomato,254,22,109
I00381,K034,Spices,292,16,139
I00382,K038,Paneer,267,19,84
I00383,K017,Milk,394,13,50
I00384,K002,Flour,266,21,137
I00385,K050,Spices,38,13,106
I00386,K038,Flour,282,8,59
I00387,K037,Milk,327,4,140
I00388,K018,Chicken,346,14,142
I00389,K014,Tomato,364,24,143
I00390,K039,Tomato,174,20,38
I00391,K002,Tomato,416,4,140
I00392,K038,Onion,396,12,46
I00393,K039,Paneer,322,10,91
I00394,K033,Paneer,348,8,130
I00395,K020,Tomato,157,24,95
I00396,K006,Milk,163,20,134
I00397,K003,Paneer,491,9,147
I00398,K042,Chicken,151,25,110
I00399,K002,Oil,232,11,134
I00400,K026,Paneer,365,17,66
I00401,K048,Paneer,151,2,127
I00402,K021,Oil,228,22,54
I00403,K023,Rice,140,7,129
I00404,K043,Cheese,50,3,148
I00405,K028,Rice,453,14,46
I00406,K050,Paneer,199,3,46
I00407,K031,Tomato,392,9,39
I00408,K044,Chicken,105,19,136
I00409,K027,Flour,22,14,55
I00410,K028,Tomato,383,18,74
I00411,K036,Spices,433,11,57
I00412,K016,Onion,170,24,30
I00413,K046,Milk,271,23,89
I00414,K024,Paneer,257,22,55
I00415,K029,Onion,310,17,52
I00416,K038,Chicken,39,6,72
I00417,K026,Spices,304,17,140
I00418,K024,Onion,98,8,57
I00419,K012,Tomato,404,1,41
I00420,K030,Spices,365,2,75
I00421,K021,Chicken,408,6,131
I00422,K049,Onion,57,14,100
I00423,K011,Rice,261,10,131
I00424,K033,Tomato,45,23,60
I00425,K050,Milk,263,7,31
I00426,K033,Flour,184,15,69
I00427,K050,Cheese,71,6,48
I00428,K032,Flour,39,1,88
I00429,K021,Spices,420,2,126
I00430,K047,Milk,325,18,113
I00431,K045,Paneer,387,24,141
I00432,K046,Chicken,224,1,141
I00433,K014,Cheese,90,0,60
I00434,K048,Cheese,193,22,39
I00435,K041,Oil,103,16,119
I00436,K026,Onion,96,10,42
I00437,K029,Onion,312,12,132
I00438,K015,Flour,250,2,49
I00439,K018,Chicken,468,10,39
I00440,K030,Paneer,362,10,56
I00441,K010,Spices,403,21,42
I00442,K033,Milk,327,25,116
I00443,K034,Spices,101,18,111
I00444,K049,Oil,369,9,42
I00445,K045,Oil,156,24,84
I00446,K005,Oil,23,22,134
I00447,K006,Chicken,427,11,112
I00448,K014,Tomato,379,25,112
I00449,K006,Milk,81,20,69
I00450,K003,Cheese,177,3,78
I00451,K011,Onion,363,21,53
I00452,K012,Rice,463,11,148
I00453,K049,Rice,27,7,89
I00454,K018,Rice,334,12,33
I00455,K045,Milk,108,22,147
I00456,K019,Tomato,343,18,63
I00457,K025,Milk,388,7,41
I00458,K035,Onion,427,21,145
I00459,K048,Spices,210,10,32
I00460,K029,Flour,467,23,139
I00461,K003,Oil,69,18,48
I00462,K050,Rice,111,4,71
I00463,K023,Milk,103,25,102
I00464,K001,Onion,434,7,41
I00465,K038,Cheese,206,24,60
I00466,K036,Cheese,485,18,85
I00467,K029,Tomato,248,2,117
I00468,K030,Chicken,267,21,129
I00469,K024,Tomato,164,12,82
I00470,K043,Flour,23,9,133
I00471,K033,Spices,434,25,72
I00472,K022,Oil,271,7,72
I00473,K004,Rice,296,4,76
I00474,K050,Paneer,222,11,33
I00475,K004,Milk,415,5,31
I00476,K033,Cheese,286,3,66
I00477,K040,Chicken,22,25,144
I00478,K020,Spices,44,7,125
I00479,K005,Flour,236,22,105
I00480,K023,Spices,169,10,89
I00481,K033,Cheese,126,6,150
I00482,K011,Paneer,296,23,140
I00483,K039,Cheese,78,8,137
I00484,K016,Chicken,366,5,136
I00485,K049,Onion,477,9,144
I00486,K015,Milk,90,19,43
I00487,K019,Milk,403,3,144
I00488,K012,Chicken,220,22,119
I00489,K016,Flour,132,19,95
I00490,K009,Flour,497,2,118
I00491,K026,Rice,22,22,129
I00492,K026,Paneer,314,20,45
I00493,K006,Chicken,149,22,44
I00494,K027,Paneer,433,16,102
I00495,K002,Paneer,114,13,64
I00496,K050,Rice,315,5,97
I00497,K011,Cheese,24,11,88
I00498,K032,Rice,64,12,33
I00499,K003,Milk,453,22,41
I00500,K037,Rice,157,15,105
I00501,K003,Rice,370,13,96
I00502,K026,Milk,151,18,136
I00503,K030,Onion,33,23,113
I00504,K018,Rice,246,22,69
I00505,K040,Tomato,439,25,72
I00506,K042,Spices,368,12,118
I00507,K043,Cheese,226,17,48
I00508,K023,Flour,340,23,119
I00509,K047,Tomato,370,11,107
I00510,K043,Oil,130,19,146
I00511,K045,Cheese,183,15,130
I00512,K039,Paneer,24,8,37
I00513,K009,Onion,314,1,79
I00514,K047,Oil,467,0,83
I00515,K033,Tomato,73,22,123
I00516,K018,Chicken,99,15,131
I00517,K016,Spices,131,24,139
I00518,K049,Paneer,388,18,112
I00519,K017,Rice,113,16,108
I00520,K031,Chicken,173,22,92
I00521,K017,Onion,399,20,88
I00522,K014,Tomato,229,11,145
I00523,K006,Tomato,305,10,56
I00524,K006,Cheese,325,18,133
I00525,K040,Spices,21,2,54
I00526,K037,Oil,353,9,76
I00527,K043,Onion,456,0,84
I00528,K026,Rice,492,23,113
I00529,K022,Flour,279,15,100
I00530,K048,Tomato,318,25,120
I00531,K009,Flour,240,10,90
I00532,K049,Tomato,222,13,129
I00533,K029,Milk,116,12,78
I00534,K009,Flour,265,8,34
I00535,K040,Onion,480,18,106
I00536,K031,Tomato,86,25,77
I00537,K036,Flour,297,4,134
I00538,K006,Onion,191,20,101
I00539,K004,Spices,223,8,96
I00540,K015,Spices,266,13,131
I00541,K007,Flour,108,14,132
I00542,K016,Paneer,333,2,115
I00543,K025,Spices,499,18,136
I00544,K033,Onion,174,3,89
I00545,K046,Milk,352,2,30
I00546,K027,Oil,298,23,107
I00547,K028,Paneer,121,3,64
I00548,K001,Tomato,476,16,118
I00549,K039,Onion,471,15,44
I00550,K030,Onion,492,20,145
I00551,K046,Rice,111,17,35
I00552,K041,Flour,308,21,40
I00553,K022,Oil,447,18,94
I00554,K006,Spices,164,20,79
I00555,K033,Onion,148,10,102
I00556,K034,Chicken,273,23,98
I00557,K016,Oil,297,12,49
I00558,K022,Oil,126,11,107
I00559,K048,Paneer,466,12,42
I00560,K033,Paneer,362,5,140
I00561,K029,Flour,160,12,59
I00562,K020,Paneer,210,12,82
I00563,K015,Onion,282,21,53
I00564,K012,Tomato,143,5,96
I00565,K044,Tomato,339,21,92
I00566,K048,Cheese,148,20,82
I00567,K011,Chicken,36,18,139
I00568,K025,Cheese,255,12,68
I00569,K023,Milk,48,2,51
I00570,K019,Milk,464,18,102
I00571,K029,Cheese,126,5,118
I00572,K017,Spices,441,6,115
I00573,K001,Tomato,445,8,123
I00574,K036,Spices,285,19,131
I00575,K038,Paneer,258,23,66
I00576,K030,Cheese,50,16,136
I00577,K049,Chicken,44,7,45
I00578,K011,Spices,260,2,134
I00579,K032,Tomato,159,21,39
I00580,K030,Paneer,360,18,66
I00581,K043,Rice,274,14,37
I00582,K041,Oil,291,22,150
I00583,K050,Spices,66,13,33
I00584,K047,Spices,360,6,46
I00585,K042,Milk,197,3,104
I00586,K025,Chicken,228,0,104
I00587,K050,Paneer,250,18,32
I00588,K033,Rice,115,5,110
I00589,K019,Onion,498,15,118
I00590,K048,Chicken,428,6,113
I00591,K005,Flour,444,22,83
I00592,K012,Milk,493,7,33
I00593,K029,Flour,152,4,130
I00594,K006,Rice,410,20,116
I00595,K030,Milk,93,4,44
I00596,K044,Tomato,245,5,105
I00597,K029,Oil,283,17,114
I00598,K042,Paneer,137,24,78
I00599,K016,Cheese,223,17,84
I00600,K008,Oil,216,13,92
I00601,K021,Rice,304,3,73
I00602,K033,Chicken,437,15,123
I00603,K002,Onion,48,13,31
I00604,K028,Flour,183,2,122
I00605,K021,Milk,497,24,68
I00606,K006,Milk,93,19,106
I00607,K043,Tomato,344,23,98
I00608,K026,Paneer,371,10,142
I00609,K036,Rice,300,25,44
I00610,K030,Chicken,473,7,90
I00611,K008,Spices,258,16,113
I00612,K005,Oil,24,5,104
I00613,K037,Flour,360,13,123
I00614,K019,Rice,343,1,135
I00615,K035,Rice,452,15,99
I00616,K034,Oil,225,0,105
I00617,K022,Paneer,351,6,57
I00618,K012,Onion,329,9,76
I00619,K020,Cheese,114,11,63
I00620,K007,Cheese,168,25,142
I00621,K042,Onion,117,17,136
I00622,K019,Chicken,41,13,132
I00623,K031,Cheese,198,13,122
I00624,K042,Onion,476,23,76
I00625,K045,Onion,80,21,54
I00626,K013,Cheese,132,0,33
I00627,K034,Rice,171,2,33
I00628,K016,Onion,370,4,73
I00629,K043,Milk,117,25,55
I00630,K036,Paneer,315,15,48
I00631,K030,Milk,390,11,126
I00632,K006,Flour,220,4,146
I00633,K019,Milk,52,25,51
I00634,K046,Spices,78,22,42
I00635,K030,Flour,391,3,68
I00636,K031,Flour,286,19,67
I00637,K007,Onion,473,23,129
I00638,K039,Chicken,126,0,76
I00639,K037,Chicken,31,18,120
I00640,K050,Paneer,500,22,55
I00641,K020,Onion,446,16,86
I00642,K043,Chicken,181,16,53
I00643,K033,Oil,189,4,136
I00644,K035,Onion,432,3,72
I00645,K047,Oil,111,11,146
I00646,K034,Paneer,44,7,134
I00647,K033,Flour,425,21,59
I00648,K018,Tomato,410,19,62
I00649,K026,Tomato,389,12,144
I00650,K003,Onion,185,5,139
I00651,K050,Cheese,105,23,131
I00652,K018,Spices,266,9,101
I00653,K042,Rice,379,20,83
I00654,K045,Spices,252,23,79
I00655,K048,Oil,340,19,150
I00656,K020,Cheese,421,23,45
I00657,K030,Milk,378,22,133
I00658,K033,Flour,261,4,76
I00659,K037,Chicken,274,14,122
I00660,K001,Chicken,143,24,149
I00661,K037,Oil,410,12,61
I00662,K012,Chicken,196,22,82
I00663,K047,Flour,110,4,85
I00664,K043,Oil,176,10,93
I00665,K024,Rice,449,18,63
I00666,K019,Chicken,427,21,122
I00667,K024,Paneer,479,16,133
I00668,K036,Oil,180,9,41
I00669,K027,Milk,369,6,114
I00670,K033,Cheese,259,2,138
I00671,K029,Chicken,480,0,85
I00672,K018,Flour,303,19,36
I00673,K050,Tomato,370,6,91
I00674,K048,Oil,372,11,52
I00675,K004,Flour,452,2,48
I00676,K015,Cheese,44,15,88
I00677,K001,Chicken,247,22,74
I00678,K033,Onion,96,6,119
I00679,K046,Oil,355,16,60
I00680,K021,Rice,469,24,103
I00681,K047,Paneer,93,11,91
I00682,K011,Spices,368,0,120
I00683,K037,Chicken,89,21,30
I00684,K031,Rice,478,12,68
I00685,K013,Onion,396,22,65
I00686,K040,Milk,369,1,109
I00687,K012,Cheese,26,14,126
I00688,K024,Cheese,396,15,81
I00689,K027,Oil,433,19,109
I00690,K042,Spices,110,5,37
I00691,K013,Spices,414,5,147
I00692,K007,Tomato,173,16,139
I00693,K041,Spices,400,21,45
I00694,K024,Rice,264,21,59
I00695,K035,Rice,186,15,43
I00696,K049,Spices,24,5,100
I00697,K005,Cheese,105,14,116
I00698,K028,Oil,89,20,141
I00699,K009,Flour,206,1,106
I00700,K003,Oil,467,5,128
I00701,K003,Rice,476,8,51
I00702,K024,Tomato,440,17,65
I00703,K007,Tomato,145,11,92
I00704,K017,Milk,168,3,127
I00705,K037,Paneer,132,14,142
I00706,K036,Rice,236,13,74
I00707,K036,Cheese,371,13,36
I00708,K001,Oil,25,20,127
I00709,K028,Chicken,280,11,35
I00710,K022,Chicken,246,1,118
I00711,K032,Milk,202,24,80
I00712,K027,Milk,496,16,149
I00713,K050,Chicken,284,21,79
I00714,K023,Tomato,85,23,72
I00715,K041,Oil,300,15,36
I00716,K025,Oil,463,6,134
I00717,K048,Milk,87,20,113
I00718,K043,Spices,86,17,61
I00719,K001,Flour,21,18,41
I00720,K007,Spices,50,1,66
I00721,K044,Spices,322,6,129
I00722,K018,Tomato,254,17,129
I00723,K040,Onion,260,21,132
I00724,K044,Flour,332,24,69
I00725,K017,Oil,27,19,83
I00726,K026,Spices,318,18,115
I00727,K008,Onion,123,6,53
I00728,K003,Rice,103,6,111
I00729,K001,Spices,37,16,52
I00730,K007,Tomato,87,3,88
I00731,K008,Spices,262,14,74
I00732,K012,Rice,422,15,62
I00733,K038,Rice,378,25,58
I00734,K020,Paneer,471,23,83
I00735,K025,Cheese,257,12,115
I00736,K020,Milk,392,13,96
I00737,K021,Oil,184,2,135
I00738,K014,Paneer,238,12,136
I00739,K044,Rice,424,25,46
I00740,K015,Milk,389,19,100
I00741,K048,Rice,344,19,36
I00742,K050,Flour,331,7,64
I00743,K020,Cheese,489,2,58
I00744,K044,Oil,345,19,141
I00745,K038,Spices,76,16,65
I00746,K026,Paneer,423,2,99
I00747,K006,Flour,451,16,122
I00748,K018,Onion,215,6,84
I00749,K015,Flour,190,14,34
I00750,K013,Chicken,394,14,120
I00751,K039,Oil,392,14,87
I00752,K022,Cheese,272,7,133
I00753,K034,Onion,320,24,49
I00754,K025,Spices,232,6,125
I00755,K043,Spices,78,15,30
I00756,K011,Onion,110,3,65
I00757,K003,Cheese,89,7,39
I00758,K048,Flour,387,8,144
I00759,K044,Tomato,403,16,91
I00760,K048,Paneer,295,21,59
I00761,K004,Oil,328,14,71
I00762,K039,Chicken,91,4,127
I00763,K026,Paneer,271,11,115
I00764,K039,Chicken,64,21,129
I00765,K048,Rice,175,7,119
I00766,K015,Chicken,149,9,32
I00767,K020,Cheese,294,24,110
I00768,K037,Chicken,331,11,143
I00769,K019,Milk,360,14,99
I00770,K049,Oil,434,16,111
I00771,K028,Tomato,192,19,55
I00772,K017,Onion,356,16,48
I00773,K003,Tomato,103,23,46
I00774,K026,Flour,298,2,91
I00775,K008,Cheese,37,11,101
I00776,K043,Onion,247,22,47
I00777,K049,Milk,293,15,129
I00778,K047,Oil,262,4,118
I00779,K030,Cheese,54,15,106
I00780,K025,Chicken,185,6,111
I00781,K004,Flour,59,1,109
I00782,K018,Chicken,369,1,85
I00783,K045,Milk,339,19,103
I00784,K018,Cheese,46,1,41
I00785,K025,Cheese,117,9,135
I00786,K006,Oil,80,18,124
I00787,K018,Milk,49,19,144
I00788,K032,Flour,257,11,112
I00789,K044,Onion,302,19,125
I00790,K045,Oil,224,19,147
I00791,K027,Spices,252,24,56
I00792,K039,Onion,90,0,145
I00793,K045,Milk,417,20,94
I00794,K034,Paneer,310,14,78
I00795,K032,Paneer,328,25,116
I00796,K021,Flour,138,4,50
I00797,K027,Onion,155,25,129
I00798,K032,Paneer,475,8,139
I00799,K019,Flour,432,5,148
I00800,K029,Rice,298,2,133
