ComplaintID,OrderID,ComplaintType,Status,ResolutionHours
CP00123,O017884,Missing Item,Open,14
CP00124,O004357,Cold Food,Resolved,3
CP00125,O017125,Missing Item,Open,6
CP00126,O007758,Cold Food,Resolved,41
CP00127,O016936,Missing Item,Resolved,42
CP00128,O004066,Packaging,Open,64
CP00129,O000010,Missing Item,Open,9
CP00130,O014897,Cold Food,Resolved,26
CP00131,O008472,Wrong Item,Resolved,1
CP00132,O005723,Wrong Item,Resolved,22
CP00133,O005589,Missing Item,Open,33
CP00134,O013221,Wrong Item,Open,59
CP00135,O007624,Packaging,Resolved,32
CP00136,O018238,Wrong Item,Resolved,39
CP00137,O009871,Packaging,Resolved,51
CP00138,O014012,Cold Food,Open,65
CP00139,O008680,Packaging,Resolved,54
CP00140,O015873,Cold Food,Open,66
CP00141,O019070,Late Delivery,Resolved,52
CP00142,O001819,Late Delivery,Resolved,33
CP00143,O015266,Cold Food,Open,33
CP00144,O016685,Cold Food,Open,45
CP00145,O003367,Wrong Item,Open,48
CP00146,O011523,Wrong Item,Resolved,46
CP00147,O006511,Packaging,Open,68
CP00148,O007950,Wrong Item,Open,34
CP00149,O011368,Packaging,Open,56
CP00150,O005731,Packaging,Resolved,61
CP00151,O007424,Cold Food,Resolved,44
CP00152,O013788,Missing Item,Resolved,21
CP00153,O011727,Wrong Item,Open,48
CP00154,O004662,Missing Item,Open,17
CP00155,O005848,Cold Food,Open,50
CP00156,O000028,Packaging,Resolved,5
CP00157,O003871,Packaging,Resolved,63
CP00158,O018701,Packaging,Open,46
CP00159,O016491,Missing Item,Resolved,32
CP00160,O013486,Wrong Item,Open,71
CP00161,O008323,Missing Item,Open,3
CP00162,O007660,Missing Item,Resolved,17
CP00163,O000650,Wrong Item,Open,62
CP00164,O004370,Wrong Item,Resolved,16
CP00165,O004100,Cold Food,Open,7
CP00166,O003304,Wrong Item,Resolved,8
CP00167,O001758,Wrong Item,Resolved,32
CP00168,O014217,Packaging,Open,12
CP00169,O016434,Missing Item,Resolved,42
CP00170,O002354,Late Delivery,Resolved,71
CP00171,O013063,Packaging,Resolved,16
CP00172,O019453,Cold Food,Open,27
CP00173,O011661,Packaging,Resolved,62
CP00174,O006685,Packaging,Resolved,58
CP00175,O018724,Cold Food,Resolved,45
CP00176,O003813,Wrong Item,Resolved,53
CP00177,O009339,Missing Item,Open,11
CP00178,O008271,Missing Item,Open,72
CP00179,O007315,Missing Item,Resolved,71
CP00180,O009392,Cold Food,Open,25
CP00181,O011626,Packaging,Open,11
CP00182,O010954,Packaging,Resolved,12
CP00183,O011404,Late Delivery,Resolved,20
CP00184,O019933,Missing Item,Resolved,7
CP00185,O019930,Wrong Item,Resolved,7
CP00186,O017652,Late Delivery,Resolved,39
CP00187,O006666,Wrong Item,Open,15
CP00188,O009793,Cold Food,Open,34
CP00189,O012684,Packaging,Resolved,46
CP00190,O011390,Missing Item,Resolved,46
CP00191,O003956,Wrong Item,Open,18
CP00192,O008827,Packaging,Open,52
CP00193,O007936,Cold Food,Resolved,56
CP00194,O007111,Cold Food,Open,70
CP00195,O014508,Late Delivery,Open,62
CP00196,O005323,Packaging,Open,64
CP00197,O013722,Wrong Item,Open,11
CP00198,O017861,Late Delivery,Resolved,72
CP00199,O000057,Missing Item,Resolved,17
CP00200,O005697,Packaging,Open,63
CP00201,O001234,Late Delivery,Open,33
CP00202,O011131,Packaging,Resolved,66
CP00203,O000929,Cold Food,Open,6
CP00204,O007992,Cold Food,Open,24
CP00205,O005596,Late Delivery,Resolved,42
CP00206,O012735,Missing Item,Open,22
CP00207,O010199,Wrong Item,Open,53
CP00208,O018424,Packaging,Resolved,22
CP00209,O013952,Packaging,Open,47
CP00210,O006001,Wrong Item,Open,56
CP00211,O013156,Missing Item,Resolved,7
CP00212,O015480,Wrong Item,Resolved,18
CP00213,O019508,Packaging,Open,48
CP00214,O017728,Cold Food,Resolved,57
CP00215,O011778,Packaging,Resolved,38
CP00216,O015421,Wrong Item,Open,18
CP00217,O007189,Packaging,Open,70
CP00218,O000033,Wrong Item,Open,68
CP00219,O014910,Packaging,Open,49
CP00220,O008578,Cold Food,Resolved,68
CP00221,O004376,Missing Item,Resolved,63
CP00222,O008181,Wrong Item,Open,5
CP00223,O011644,Packaging,Resolved,46
CP00224,O008449,Missing Item,Resolved,18
CP00225,O015908,Wrong Item,Open,60
CP00226,O005380,Missing Item,Resolved,37
CP00227,O009248,Cold Food,Open,63
CP00228,O010035,Packaging,Open,70
CP00229,O013527,Late Delivery,Resolved,71
CP00230,O002578,Wrong Item,Resolved,8
CP00231,O015911,Late Delivery,Open,46
CP00232,O007327,Packaging,Open,1
CP00233,O010867,Cold Food,Resolved,48
CP00234,O016466,Late Delivery,Resolved,20
CP00235,O001673,Cold Food,Open,22
CP00236,O001366,Missing Item,Resolved,38
CP00237,O004360,Missing Item,Resolved,21
CP00238,O003123,Cold Food,Open,47
CP00239,O011757,Cold Food,Open,59
CP00240,O006615,Cold Food,Open,2
CP00241,O004348,Cold Food,Resolved,25
CP00242,O012146,Wrong Item,Resolved,63
CP00243,O008980,Missing Item,Resolved,27
CP00244,O011364,Late Delivery,Open,28
CP00245,O000073,Packaging,Open,48
CP00246,O009215,Packaging,Open,34
CP00247,O010434,Cold Food,Resolved,12
CP00248,O001842,Wrong Item,Resolved,66
CP00249,O010945,Cold Food,Open,70
CP00250,O003304,Missing Item,Resolved,24
CP00251,O009154,Packaging,Open,6
CP00252,O015653,Wrong Item,Resolved,20
CP00253,O004516,Missing Item,Open,49
CP00254,O015815,Late Delivery,Open,16
CP00255,O015452,Missing Item,Resolved,19
CP00256,O004955,Cold Food,Resolved,33
CP00257,O014328,Wrong Item,Open,61
CP00258,O005666,Late Delivery,Resolved,19
CP00259,O014863,Missing Item,Resolved,23
CP00260,O012227,Missing Item,Open,18
CP00261,O005704,Wrong Item,Resolved,52
CP00262,O015077,Cold Food,Open,15
CP00263,O006150,Cold Food,Open,47
CP00264,O006500,Late Delivery,Resolved,18
CP00265,O004286,Late Delivery,Resolved,24
CP00266,O009784,Missing Item,Open,64
CP00267,O004745,Wrong Item,Open,58
CP00268,O016134,Wrong Item,Open,12
CP00269,O007163,Packaging,Resolved,57
CP00270,O007153,Late Delivery,Open,15
CP00271,O010253,Wrong Item,Open,70
CP00272,O014857,Missing Item,Open,14
CP00273,O006618,Packaging,Resolved,51
CP00274,O005455,Late Delivery,Open,38
CP00275,O002388,Cold Food,Open,47
CP00276,O012062,Cold Food,Open,37
CP00277,O001053,Packaging,Resolved,25
CP00278,O004717,Cold Food,Open,22
CP00279,O002505,Late Delivery,Resolved,53
CP00280,O013840,Wrong Item,Resolved,66
CP00281,O011986,Wrong Item,Resolved,57
CP00282,O017359,Missing Item,Open,31
CP00283,O011649,Late Delivery,Resolved,46
CP00284,O014953,Cold Food,Resolved,41
CP00285,O001295,Packaging,Open,71
CP00286,O016601,Missing Item,Open,29
CP00287,O015260,Packaging,Resolved,42
CP00288,O003878,Packaging,Open,9
CP00289,O013599,Late Delivery,Resolved,34
CP00290,O005889,Cold Food,Open,33
CP00291,O016222,Late Delivery,Open,39
CP00292,O018698,Late Delivery,Open,51
CP00293,O017838,Packaging,Open,71
CP00294,O015956,Missing Item,Resolved,56
CP00295,O000438,Packaging,Resolved,61
CP00296,O008341,Late Delivery,Resolved,20
CP00297,O016173,Late Delivery,Resolved,10
CP00298,O006146,Late Delivery,Resolved,44
CP00299,O000602,Packaging,Open,24
CP00300,O004031,Wrong Item,Open,64
CP00301,O015201,Missing Item,Resolved,64
CP00302,O015153,Wrong Item,Resolved,65
CP00303,O011387,Missing Item,Open,62
CP00304,O016656,Cold Food,Resolved,36
CP00305,O017524,Cold Food,Resolved,19
CP00306,O001326,Late Delivery,Resolved,53
CP00307,O007337,Missing Item,Open,62
CP00308,O013792,Wrong Item,Open,5
CP00309,O001671,Missing Item,Resolved,28
CP00310,O002389,Late Delivery,Resolved,25
CP00311,O011979,Late Delivery,Resolved,50
CP00312,O014379,Packaging,Open,31
CP00313,O000305,Packaging,Resolved,32
CP00314,O016674,Wrong Item,Resolved,50
CP00315,O007611,Wrong Item,Open,69
CP00316,O013578,Wrong Item,Resolved,34
CP00317,O016324,Packaging,Resolved,21
CP00318,O010256,Wrong Item,Resolved,57
CP00319,O013306,Cold Food,Open,48
CP00320,O006586,Cold Food,Open,2
CP00321,O017734,Cold Food,Resolved,9
CP00322,O012346,Missing Item,Open,35
CP00323,O017639,Packaging,Open,38
CP00324,O015147,Late Delivery,Open,69
CP00325,O019640,Packaging,Resolved,19
CP00326,O008129,Cold Food,Resolved,25
CP00327,O009472,Packaging,Resolved,60
CP00328,O014021,Wrong Item,Resolved,30
CP00329,O000605,Packaging,Resolved,13
CP00330,O012983,Packaging,Open,71
CP00331,O018763,Late Delivery,Resolved,49
CP00332,O008373,Late Delivery,Open,69
CP00333,O017081,Packaging,Open,19
CP00334,O008527,Missing Item,Open,19
CP00335,O005925,Missing Item,Resolved,45
CP00336,O012962,Packaging,Open,57
CP00337,O011582,Cold Food,Open,9
CP00338,O002542,Packaging,Open,19
CP00339,O007925,Late Delivery,Resolved,48
CP00340,O017224,Cold Food,Open,35
CP00341,O018611,Cold Food,Resolved,67
CP00342,O000075,Cold Food,Resolved,18
CP00343,O001697,Wrong Item,Open,35
CP00344,O018694,Wrong Item,Resolved,17
CP00345,O005204,Packaging,Open,23
CP00346,O019895,Missing Item,Open,52
CP00347,O014639,Cold Food,Open,69
CP00348,O012108,Cold Food,Open,38
CP00349,O012928,Packaging,Resolved,27
CP00350,O013805,Missing Item,Open,39
CP00351,O017039,Cold Food,Open,19
CP00352,O000893,Cold Food,Resolved,61
CP00353,O009903,Wrong Item,Open,45
CP00354,O011829,Packaging,Resolved,17
CP00355,O013121,Missing Item,Open,56
CP00356,O012769,Missing Item,Open,11
CP00357,O007747,Missing Item,Resolved,63
CP00358,O018648,Wrong Item,Resolved,67
CP00359,O000705,Packaging,Open,38
CP00360,O010314,Wrong Item,Resolved,19
CP00361,O015438,Wrong Item,Open,6
CP00362,O001147,Late Delivery,Open,7
CP00363,O007341,Packaging,Resolved,64
CP00364,O007820,Missing Item,Open,60
CP00365,O014743,Missing Item,Resolved,13
CP00366,O014309,Cold Food,Open,41
CP00367,O012872,Missing Item,Resolved,28
CP00368,O017090,Wrong Item,Open,57
CP00369,O000316,Missing Item,Resolved,43
CP00370,O011533,Late Delivery,Open,58
CP00371,O006628,Cold Food,Open,9
CP00372,O005762,Wrong Item,Resolved,42
CP00373,O007321,Wrong Item,Resolved,57
CP00374,O002018,Late Delivery,Open,7
CP00375,O015356,Packaging,Resolved,23
CP00376,O002758,Cold Food,Open,25
CP00377,O016323,Wrong Item,Resolved,46
CP00378,O014419,Cold Food,Open,10
CP00379,O004707,Wrong Item,Resolved,8
CP00380,O004188,Late Delivery,Resolved,25
CP00381,O006637,Wrong Item,Resolved,18
CP00382,O015063,Late Delivery,Resolved,16
CP00383,O012443,Missing Item,Open,54
CP00384,O019518,Wrong Item,Resolved,5
CP00385,O012213,Cold Food,Open,41
CP00386,O006652,Wrong Item,Open,71
CP00387,O015329,Wrong Item,Resolved,33
CP00388,O013778,Missing Item,Resolved,63
CP00389,O017002,Wrong Item,Open,66
CP00390,O002433,Late Delivery,Resolved,66
CP00391,O009913,Missing Item,Open,50
CP00392,O006683,Missing Item,Resolved,42
CP00393,O013733,Missing Item,Open,46
CP00394,O002667,Packaging,Resolved,50
CP00395,O013154,Late Delivery,Resolved,53
CP00396,O009861,Cold Food,Resolved,19
CP00397,O013051,Wrong Item,Resolved,11
CP00398,O001345,Late Delivery,Open,49
CP00399,O008719,Wrong Item,Open,51
CP00400,O003533,Late Delivery,Open,26
CP00401,O002790,Late Delivery,Open,69
CP00402,O018415,Late Delivery,Resolved,36
CP00403,O005625,Packaging,Resolved,53
CP00404,O011926,Cold Food,Resolved,44
CP00405,O006011,Packaging,Open,62
CP00406,O002513,Packaging,Open,51
CP00407,O004217,Missing Item,Open,28
CP00408,O015405,Cold Food,Open,66
CP00409,O011718,Cold Food,Open,7
CP00410,O005832,Late Delivery,Open,70
CP00411,O018261,Missing Item,Resolved,32
CP00412,O019657,Late Delivery,Resolved,37
CP00413,O010023,Cold Food,Resolved,13
CP00414,O017541,Cold Food,Open,52
CP00415,O015905,Cold Food,Resolved,4
CP00416,O000106,Late Delivery,Open,58
CP00417,O012922,Missing Item,Resolved,56
CP00418,O004842,Cold Food,Open,7
CP00419,O002550,Packaging,Open,58
CP00420,O006118,Late Delivery,Open,7
CP00421,O015757,Missing Item,Resolved,8
CP00422,O011496,Packaging,Open,54
CP00423,O009875,Cold Food,Resolved,40
CP00424,O015058,Wrong Item,Open,53
CP00425,O003587,Packaging,Resolved,52
CP00426,O019669,Cold Food,Resolved,51
CP00427,O006232,Late Delivery,Resolved,50
CP00428,O003656,Missing Item,Resolved,21
CP00429,O018618,Missing Item,Resolved,57
CP00430,O001100,Cold Food,Open,43
CP00431,O012684,Cold Food,Open,59
CP00432,O018468,Wrong Item,Resolved,20
CP00433,O018311,Packaging,Resolved,32
CP00434,O012405,Missing Item,Open,43
CP00435,O019930,Missing Item,Open,70
CP00436,O013959,Cold Food,Resolved,62
CP00437,O007837,Cold Food,Resolved,61
CP00438,O001920,Cold Food,Resolved,48
CP00439,O005197,Packaging,Resolved,64
CP00440,O002168,Missing Item,Open,58
CP00441,O010037,Packaging,Resolved,11
CP00442,O014355,Late Delivery,Resolved,1
CP00443,O003086,Wrong Item,Open,64
CP00444,O000408,Late Delivery,Resolved,7
CP00445,O010848,Wrong Item,Open,38
CP00446,O000473,Cold Food,Open,55
CP00447,O019928,Cold Food,Resolved,36
CP00448,O001678,Cold Food,Open,4
CP00449,O000985,Cold Food,Resolved,32
CP00450,O002988,Late Delivery,Open,50
CP00451,O001226,Wrong Item,Open,42
CP00452,O018826,Late Delivery,Resolved,60
CP00453,O010443,Cold Food,Open,25
CP00454,O004657,Late Delivery,Resolved,25
CP00455,O011685,Cold Food,Resolved,47
CP00456,O016342,Late Delivery,Resolved,24
CP00457,O003713,Cold Food,Resolved,68
CP00458,O007283,Wrong Item,Open,28
CP00459,O007796,Late Delivery,Open,51
CP00460,O009359,Wrong Item,Resolved,64
CP00461,O009995,Cold Food,Open,53
CP00462,O004123,Late Delivery,Open,41
CP00463,O004346,Missing Item,Open,42
CP00464,O007613,Late Delivery,Open,7
CP00465,O008701,Late Delivery,Open,38
CP00466,O017990,Packaging,Resolved,43
CP00467,O018384,Missing Item,Open,43
CP00468,O002946,Wrong Item,Resolved,34
CP00469,O001351,Wrong Item,Resolved,32
CP00470,O015511,Late Delivery,Open,12
CP00471,O009802,Packaging,Open,56
CP00472,O008915,Cold Food,Open,30
CP00473,O004256,Late Delivery,Resolved,11
CP00474,O005936,Missing Item,Open,17
CP00475,O005285,Wrong Item,Open,63
CP00476,O003736,Cold Food,Resolved,3
CP00477,O012733,Late Delivery,Resolved,35
CP00478,O019990,Wrong Item,Resolved,16
CP00479,O013612,Wrong Item,Resolved,11
CP00480,O012391,Missing Item,Open,19
CP00481,O006272,Cold Food,Resolved,27
CP00482,O017991,Wrong Item,Resolved,30
CP00483,O019013,Missing Item,Resolved,8
CP00484,O015995,Cold Food,Resolved,36
CP00485,O005407,Late Delivery,Open,71
CP00486,O015965,Wrong Item,Open,28
CP00487,O003758,Packaging,Resolved,63
CP00488,O002026,Wrong Item,Resolved,28
CP00489,O017008,Wrong Item,Open,48
CP00490,O015424,Late Delivery,Resolved,29
CP00491,O013643,Wrong Item,Open,17
CP00492,O019534,Late Delivery,Resolved,4
CP00493,O007551,Late Delivery,Resolved,2
CP00494,O018608,Late Delivery,Resolved,16
CP00495,O001580,Wrong Item,Open,22
CP00496,O007792,Missing Item,Resolved,38
CP00497,O008225,Cold Food,Open,33
CP00498,O007257,Late Delivery,Open,12
CP00499,O015018,Wrong Item,Resolved,18
CP00500,O017713,Cold Food,Open,11
CP00501,O006856,Missing Item,Open,33
CP00502,O005380,Late Delivery,Open,10
CP00503,O014152,Wrong Item,Open,21
CP00504,O013093,Cold Food,Resolved,44
CP00505,O005576,Cold Food,Resolved,53
CP00506,O011636,Missing Item,Resolved,20
CP00507,O003927,Packaging,Resolved,7
CP00508,O008854,Late Delivery,Open,29
CP00509,O016493,Missing Item,Open,18
CP00510,O000494,Packaging,Open,28
CP00511,O010026,Missing Item,Resolved,12
CP00512,O018601,Missing Item,Open,63
CP00513,O007980,Cold Food,Resolved,3
CP00514,O010114,Late Delivery,Resolved,36
CP00515,O012674,Late Delivery,Resolved,72
CP00516,O003501,Wrong Item,Resolved,71
CP00517,O001283,Cold Food,Open,30
CP00518,O007599,Cold Food,Resolved,42
CP00519,O007955,Wrong Item,Resolved,52
CP00520,O017757,Late Delivery,Open,39
CP00521,O019170,Missing Item,Resolved,27
CP00522,O006220,Cold Food,Resolved,62
CP00523,O009592,Packaging,Open,14
CP00524,O013151,Cold Food,Open,6
CP00525,O018278,Packaging,Open,18
CP00526,O014529,Late Delivery,Open,46
CP00527,O003462,Late Delivery,Resolved,45
CP00528,O011914,Packaging,Resolved,2
CP00529,O004352,Late Delivery,Open,63
CP00530,O016217,Wrong Item,Open,55
CP00531,O005524,Late Delivery,Resolved,23
CP00532,O014344,Late Delivery,Resolved,39
CP00533,O016943,Wrong Item,Open,13
CP00534,O014183,Packaging,Resolved,50
CP00535,O015311,Packaging,Open,54
CP00536,O018049,Cold Food,Open,56
CP00537,O004216,Late Delivery,Resolved,7
CP00538,O018481,Missing Item,Open,1
CP00539,O018140,Wrong Item,Open,40
CP00540,O001246,Wrong Item,Open,54
CP00541,O017758,Packaging,Resolved,15
CP00542,O017492,Wrong Item,Resolved,56
CP00543,O013152,Cold Food,Open,5
CP00544,O002318,Missing Item,Resolved,43
CP00545,O010417,Cold Food,Open,28
CP00546,O017677,Wrong Item,Open,35
CP00547,O009082,Packaging,Resolved,45
CP00548,O006671,Cold Food,Open,6
CP00549,O013642,Wrong Item,Open,52
CP00550,O000783,Packaging,Open,7
CP00551,O009736,Missing Item,Resolved,53
CP00552,O005205,Late Delivery,Open,27
CP00553,O004366,Wrong Item,Resolved,31
CP00554,O005467,Late Delivery,Open,51
CP00555,O017281,Packaging,Resolved,18
CP00556,O017179,Packaging,Resolved,30
CP00557,O009670,Cold Food,Resolved,31
CP00558,O018386,Late Delivery,Resolved,10
CP00559,O002144,Cold Food,Resolved,10
CP00560,O003884,Packaging,Open,69
CP00561,O013273,Cold Food,Open,14
CP00562,O005465,Wrong Item,Open,48
CP00563,O009016,Cold Food,Resolved,19
CP00564,O019400,Wrong Item,Resolved,60
CP00565,O003156,Wrong Item,Resolved,28
CP00566,O017792,Cold Food,Open,13
CP00567,O007112,Packaging,Open,11
CP00568,O002784,Packaging,Open,47
CP00569,O013041,Packaging,Resolved,71
CP00570,O004006,Packaging,Open,49
CP00571,O008468,Wrong Item,Open,64
CP00572,O014296,Late Delivery,Resolved,3
CP00573,O000196,Late Delivery,Open,36
CP00574,O015485,Cold Food,Open,70
CP00575,O019297,Wrong Item,Resolved,24
CP00576,O010192,Missing Item,Resolved,41
CP00577,O014013,Missing Item,Resolved,37
CP00578,O011045,Late Delivery,Open,4
CP00579,O002139,Cold Food,Open,51
CP00580,O000420,Cold Food,Resolved,32
CP00581,O019774,Packaging,Open,64
CP00582,O004742,Wrong Item,Open,50
CP00583,O011210,Wrong Item,Open,65
CP00584,O002194,Wrong Item,Resolved,60
CP00585,O010447,Missing Item,Open,13
CP00586,O010631,Cold Food,Open,70
CP00587,O008861,Wrong Item,Resolved,48
CP00588,O019958,Wrong Item,Resolved,2
CP00589,O006389,Cold Food,Open,21
CP00590,O010002,Missing Item,Open,30
CP00591,O007336,Packaging,Resolved,43
CP00592,O008544,Cold Food,Open,58
CP00593,O002461,Cold Food,Open,38
CP00594,O016767,Packaging,Resolved,47
CP00595,O016967,Packaging,Resolved,6
CP00596,O015626,Missing Item,Resolved,12
CP00597,O012143,Late Delivery,Resolved,32
CP00598,O005807,Late Delivery,Resolved,72
CP00599,O011943,Cold Food,Resolved,39
CP00600,O016614,Cold Food,Open,58
CP00601,O008135,Late Delivery,Open,62
CP00602,O000660,Cold Food,Open,53
CP00603,O012880,Packaging,Resolved,33
CP00604,O002065,Packaging,Resolved,52
CP00605,O011026,Wrong Item,Open,8
CP00606,O011721,Late Delivery,Open,57
CP00607,O004273,Wrong Item,Resolved,68
CP00608,O011437,Cold Food,Open,71
CP00609,O000431,Late Delivery,Open,39
CP00610,O006358,Missing Item,Resolved,8
CP00611,O010277,Cold Food,Resolved,13
CP00612,O010518,Packaging,Resolved,2
CP00613,O000380,Wrong Item,Open,9
CP00614,O002249,Late Delivery,Open,37
CP00615,O010876,Late Delivery,Open,70
CP00616,O018352,Cold Food,Resolved,69
CP00617,O006471,Packaging,Resolved,64
CP00618,O002597,Late Delivery,Resolved,29
CP00619,O013736,Late Delivery,Resolved,60
CP00620,O002648,Late Delivery,Resolved,26
CP00621,O017694,Cold Food,Resolved,57
CP00622,O000792,Late Delivery,Resolved,62
CP00623,O018221,Wrong Item,Resolved,65
CP00624,O006076,Cold Food,Open,67
CP00625,O010621,Packaging,Resolved,59
CP00626,O019639,Cold Food,Open,27
CP00627,O000616,Late Delivery,Resolved,38
CP00628,O007040,Cold Food,Resolved,64
CP00629,O016944,Late Delivery,Open,6
CP00630,O000895,Wrong Item,Resolved,27
CP00631,O011040,Missing Item,Open,39
CP00632,O011888,Late Delivery,Open,41
CP00633,O014791,Packaging,Open,18
CP00634,O015448,Wrong Item,Open,53
CP00635,O012713,Late Delivery,Resolved,62
CP00636,O017538,Late Delivery,Open,14
CP00637,O015153,Missing Item,Open,9
CP00638,O006187,Wrong Item,Open,47
CP00639,O009507,Wrong Item,Open,71
CP00640,O016489,Wrong Item,Resolved,50
CP00641,O004445,Missing Item,Open,45
CP00642,O011293,Missing Item,Resolved,64
CP00643,O010766,Packaging,Open,68
CP00644,O004910,Late Delivery,Resolved,54
CP00645,O012844,Wrong Item,Open,35
CP00646,O002323,Late Delivery,Resolved,55
CP00647,O012829,Missing Item,Resolved,17
CP00648,O007862,Cold Food,Open,43
CP00649,O010107,Packaging,Open,38
CP00650,O000620,Packaging,Resolved,29
CP00651,O003599,Wrong Item,Resolved,63
CP00652,O014715,Packaging,Open,64
CP00653,O012321,Missing Item,Resolved,48
CP00654,O000634,Missing Item,Resolved,58
CP00655,O006216,Late Delivery,Resolved,26
CP00656,O012312,Late Delivery,Resolved,61
