OrderID,CustomerID,KitchenID,RiderID,OrderDate,PreparationTime,DeliveryTime,OrderStatus,TotalAmount,Discount,TotalCost,CustomerRating,DistanceKM,PaymentMethod,DeliveryPartner,Weather,TrafficLevel,TimeSlot,OrderPriority,CouponCode,DiscountType,PreparationDelayReason,DeliveryDelayReason
O000041,C00847,K022,R0423,2026-10-29,12,53,Delivered,1081,93,665,3.9,9,Cash,Shadowfax,Sunny,Low,Dinner,Express,FIRST50,No Discount,,Heavy Rain
O000042,C00880,K011,R0301,2025-10-29,11,27,Delivered,1013,86,564,4.2,7,UPI,Dunzo,Rainy,Medium,Dinner,Normal,SAVE50,No Discount,,
O000043,C00661,K033,R0435,2025-12-06,27,48,Delivered,918,91,614,3.4,11,Cash,Dunzo,Sunny,High,Lunch,Normal,WELCOME100,Flat,Ingredient Delay,Rider Delay
O000044,C02710,K016,R0300,2026-05-09,37,23,Delivered,847,128,602,3.8,8,Debit Card,In-House,Cloudy,Medium,Evening,Express,FIRST50,No Discount,Staff Shortage,
O000045,C02163,K037,R0448,2026-09-23,12,17,Delivered,1062,0,597,4.4,15,Debit Card,Porter,Cloudy,High,Breakfast,Normal,WELCOME100,No Discount,,
O000046,C02934,K046,R0255,2025-05-16,32,54,Cancelled,820,167,598,4.9,3,Cash,Porter,Rainy,Low,Dinner,Normal,SAVE50,No Discount,Ingredient Delay,Heavy Rain
O000047,C02571,K018,R0007,2026-08-01,26,58,Delivered,881,43,657,3.3,7,Debit Card,In-House,Rainy,Low,Dinner,Express,FESTIVE20,Percentage,Ingredient Delay,Traffic
O000048,C00675,K001,R0111,2025-02-24,32,21,Delivered,545,77,320,3.9,9,UPI,Shadowfax,Sunny,Low,Dinner,Normal,FESTIVE20,Percentage,Staff Shortage,
O000049,C02016,K049,R0368,2025-04-08,31,36,Delivered,1180,170,893,3.6,7,Cash,Porter,Cloudy,Medium,Evening,Normal,FIRST50,No Discount,Ingredient Delay,Rider Delay
O000050,C01940,K025,R0184,2025-05-30,35,15,Delivered,1349,165,897,3.5,13,Cash,Shadowfax,Sunny,Medium,Evening,Express,SAVE50,Flat,Ingredient Delay,
O000051,C01374,K012,R0321,2025-06-05,10,37,Delivered,1212,11,744,4.5,12,UPI,Porter,Rainy,Low,Dinner,Express,NONE,No Discount,,Customer Unavailable
O000052,C02258,K046,R0206,2026-11-29,40,17,Delivered,248,62,154,3.6,6,Credit Card,In-House,Cloudy,Medium,Dinner,Normal,SAVE50,Percentage,Staff Shortage,
O000053,C01698,K032,R0309,2025-07-08,38,22,Delivered,1313,23,1023,3.6,11,UPI,In-House,Cloudy,High,Evening,Express,SAVE50,No Discount,Ingredient Delay,
O000054,C02006,K023,R0340,2025-03-11,13,37,Delivered,1154,85,887,4.2,13,UPI,Dunzo,Sunny,Low,Lunch,Normal,FESTIVE20,Flat,,Rider Delay
O000055,C02749,K017,R0223,2025-03-27,13,57,Delivered,1142,33,640,4.0,9,Debit Card,Dunzo,Sunny,Medium,Evening,Normal,NONE,No Discount,,Rider Delay
O000056,C00082,K007,R0302,2026-07-12,32,26,Delivered,388,161,279,3.1,10,Wallet,Shadowfax,Cloudy,Low,Breakfast,Express,WELCOME100,No Discount,Staff Shortage,
O000057,C01482,K022,R0143,2026-04-09,35,18,Delivered,855,138,524,3.7,8,Debit Card,Shadowfax,Cloudy,Low,Dinner,Express,WELCOME100,No Discount,Ingredient Delay,
O000058,C00941,K012,R0146,2026-03-08,27,31,Delivered,452,166,252,3.8,6,Credit Card,Porter,Cloudy,Medium,Evening,Normal,NONE,Flat,Equipment Issue,Customer Unavailable
O000059,C02705,K023,R0386,2026-11-13,22,42,Delivered,372,158,206,4.0,14,Cash,Dunzo,Sunny,Medium,Lunch,Express,FIRST50,No Discount,,Rider Delay
O000060,C02520,K001,R0462,2026-08-06,39,19,Delivered,1321,149,879,4.1,4,Credit Card,Porter,Rainy,High,Breakfast,Normal,WELCOME100,Flat,High Order Volume,
O000061,C01937,K041,R0188,2025-12-29,12,20,Delivered,1147,31,746,3.7,6,Debit Card,Dunzo,Cloudy,High,Evening,Express,NONE,Flat,,
O000062,C02921,K021,R0320,2025-06-10,40,38,Delivered,1302,89,759,3.7,15,UPI,In-House,Sunny,High,Lunch,Normal,SAVE50,Flat,High Order Volume,Rider Delay
O000063,C01389,K007,R0215,2026-05-02,16,36,Delivered,429,39,238,4.4,5,Credit Card,Porter,Rainy,High,Breakfast,Normal,FESTIVE20,No Discount,,Traffic
O000064,C01974,K015,R0049,2025-03-22,19,59,Delivered,266,181,173,4.3,9,UPI,Porter,Cloudy,High,Dinner,Normal,FIRST50,Percentage,,Customer Unavailable
O000065,C01513,K023,R0396,2026-02-03,23,15,Delivered,397,129,270,3.1,11,Wallet,In-House,Cloudy,High,Dinner,Express,FIRST50,No Discount,,
O000066,C02896,K037,R0459,2025-01-08,33,47,Delivered,440,73,300,4.7,6,Wallet,Porter,Cloudy,Low,Breakfast,Express,FIRST50,Flat,Ingredient Delay,Heavy Rain
O000067,C01130,K014,R0154,2026-01-14,12,27,Delivered,558,126,365,4.7,5,Cash,Shadowfax,Cloudy,Low,Lunch,Normal,FIRST50,No Discount,,
O000068,C01173,K046,R0384,2025-11-05,16,54,Delivered,602,190,336,4.4,12,Wallet,Shadowfax,Rainy,Low,Breakfast,Express,WELCOME100,Percentage,,Customer Unavailable
O000069,C00409,K006,R0297,2025-02-11,22,37,Cancelled,841,105,553,4.6,11,Debit Card,Porter,Sunny,High,Lunch,Express,NONE,Percentage,,Traffic
O000070,C00247,K042,R0124,2026-05-15,36,25,Delivered,756,151,534,3.4,5,UPI,Porter,Sunny,Low,Evening,Express,FIRST50,Flat,Equipment Issue,
O000071,C02482,K002,R0499,2026-10-14,36,51,Delivered,629,196,401,3.1,2,Wallet,Shadowfax,Rainy,Low,Dinner,Express,FESTIVE20,No Discount,High Order Volume,Heavy Rain
O000072,C01474,K016,R0058,2025-07-18,39,55,Delivered,1175,63,672,3.3,9,Debit Card,Shadowfax,Cloudy,High,Dinner,Normal,NONE,Percentage,High Order Volume,Traffic
O000073,C02473,K004,R0431,2026-09-06,24,35,Delivered,673,45,422,3.9,2,Debit Card,Dunzo,Rainy,Medium,Evening,Normal,FESTIVE20,Percentage,,Heavy Rain
O000074,C02861,K027,R0480,2025-03-19,13,58,Cancelled,1435,70,802,4.4,4,Credit Card,Shadowfax,Cloudy,Low,Lunch,Normal,WELCOME100,No Discount,,Rider Delay
O000075,C02899,K050,R0234,2025-08-16,31,47,Cancelled,298,154,230,3.2,5,Cash,Shadowfax,Cloudy,High,Lunch,Normal,NONE,Percentage,Ingredient Delay,Traffic
O000076,C02591,K041,R0492,2025-10-31,23,24,Delivered,382,177,272,3.1,13,Wallet,Dunzo,Rainy,Low,Dinner,Normal,FESTIVE20,Percentage,,
O000077,C00199,K039,R0108,2025-05-11,38,40,Delivered,404,151,272,3.1,6,Credit Card,Porter,Sunny,High,Breakfast,Express,NONE,Percentage,Staff Shortage,Customer Unavailable
O000078,C00556,K043,R0313,2026-06-07,13,59,Delivered,238,149,136,4.5,7,UPI,Dunzo,Sunny,Medium,Breakfast,Normal,FIRST50,Percentage,,Rider Delay
O000079,C02807,K008,R0001,2026-10-29,24,25,Delivered,1451,172,1128,4.6,9,UPI,Shadowfax,Rainy,Low,Dinner,Normal,FESTIVE20,Percentage,,
O000080,C00436,K017,R0187,2025-01-23,17,56,Delivered,872,166,665,4.9,6,Credit Card,Dunzo,Cloudy,Low,Breakfast,Express,NONE,Percentage,,Rider Delay
O000081,C01918,K025,R0157,2026-08-27,17,50,Delivered,1076,96,676,4.2,10,UPI,In-House,Cloudy,Low,Breakfast,Express,FESTIVE20,Percentage,,Rider Delay
O000082,C01538,K044,R0100,2025-01-26,25,20,Delivered,252,68,192,4.3,6,Debit Card,Shadowfax,Rainy,High,Evening,Express,FESTIVE20,No Discount,,
O000083,C02593,K010,R0032,2025-05-27,26,48,Delivered,589,90,399,3.4,14,Credit Card,Dunzo,Sunny,Medium,Evening,Normal,FESTIVE20,Flat,Staff Shortage,Rider Delay
O000084,C02328,K029,R0151,2025-09-24,36,49,Delivered,1339,148,801,4.5,9,Debit Card,Dunzo,Rainy,Low,Breakfast,Normal,SAVE50,Flat,Staff Shortage,Heavy Rain
O000085,C02157,K019,R0002,2025-11-24,26,45,Cancelled,555,46,384,3.7,13,UPI,Shadowfax,Sunny,Medium,Lunch,Normal,FESTIVE20,No Discount,Staff Shortage,Customer Unavailable
O000086,C02713,K026,R0338,2026-09-04,35,38,Delivered,397,15,290,4.0,8,UPI,In-House,Sunny,Medium,Dinner,Normal,FIRST50,Flat,Equipment Issue,Rider Delay
O000087,C00908,K040,R0106,2025-08-22,32,26,Delivered,343,55,219,4.4,5,Debit Card,Porter,Cloudy,High,Lunch,Normal,WELCOME100,Percentage,Equipment Issue,
O000088,C02435,K008,R0280,2025-01-28,27,41,Cancelled,218,177,174,3.4,12,Debit Card,Shadowfax,Sunny,Low,Breakfast,Normal,NONE,Percentage,High Order Volume,Traffic
O000089,C01881,K029,R0296,2026-04-15,16,45,Cancelled,1046,194,752,4.0,8,Credit Card,Shadowfax,Cloudy,Low,Dinner,Normal,SAVE50,Percentage,,Heavy Rain
O000090,C00318,K037,R0492,2025-05-03,36,18,Delivered,408,13,232,4.6,6,Debit Card,In-House,Sunny,Medium,Breakfast,Express,NONE,Flat,Equipment Issue,
O000091,C02163,K042,R0092,2025-02-16,37,20,Delivered,1334,184,894,3.9,8,Debit Card,Porter,Cloudy,Low,Dinner,Normal,FIRST50,Flat,Ingredient Delay,
O000092,C00385,K022,R0171,2026-07-05,18,33,Delivered,816,126,633,4.4,14,Debit Card,Dunzo,Sunny,Medium,Lunch,Express,WELCOME100,Percentage,,Customer Unavailable
O000093,C02847,K046,R0313,2026-12-27,33,15,Delivered,614,185,423,4.2,13,Debit Card,Dunzo,Cloudy,Low,Dinner,Normal,SAVE50,Flat,Equipment Issue,
O000094,C01652,K028,R0424,2026-04-29,33,54,Delivered,1348,47,772,4.9,14,Cash,Porter,Cloudy,Medium,Dinner,Normal,WELCOME100,Flat,Ingredient Delay,Customer Unavailable
O000095,C02311,K022,R0158,2025-11-05,26,22,Delivered,219,132,164,3.3,7,Wallet,Dunzo,Rainy,High,Breakfast,Express,FESTIVE20,Flat,High Order Volume,
O000096,C00270,K017,R0404,2025-03-22,30,24,Delivered,1376,24,1035,4.9,12,Wallet,Shadowfax,Sunny,High,Evening,Normal,FIRST50,Flat,Equipment Issue,
O000097,C01046,K001,R0165,2026-01-24,13,56,Delivered,537,178,371,3.5,15,Debit Card,Porter,Sunny,Medium,Dinner,Express,FESTIVE20,Flat,,Traffic
O000098,C02071,K029,R0275,2025-07-10,19,24,Delivered,925,93,686,3.7,4,Cash,Shadowfax,Cloudy,High,Lunch,Normal,WELCOME100,Flat,,
O000099,C02921,K031,R0477,2026-10-09,24,23,Delivered,444,31,323,4.9,2,Debit Card,Porter,Cloudy,Low,Dinner,Normal,WELCOME100,Flat,,
O000100,C02126,K008,R0072,2025-11-08,40,36,Delivered,1466,193,830,4.1,13,Wallet,Porter,Rainy,Low,Dinner,Express,FIRST50,Percentage,Staff Shortage,Traffic
O000101,C01526,K046,R0392,2025-06-12,34,41,Delivered,729,36,570,4.5,9,UPI,Dunzo,Rainy,Medium,Dinner,Normal,FESTIVE20,Percentage,High Order Volume,Customer Unavailable
O000102,C00480,K031,R0486,2025-06-22,24,35,Delivered,956,106,623,4.0,13,Wallet,In-House,Cloudy,Low,Breakfast,Express,FESTIVE20,No Discount,,Customer Unavailable
O000103,C00842,K049,R0262,2026-10-23,38,42,Cancelled,1291,195,861,4.0,6,Credit Card,In-House,Cloudy,Low,Breakfast,Express,WELCOME100,Flat,High Order Volume,Customer Unavailable
O000104,C00820,K020,R0380,2026-12-30,20,31,Delivered,568,38,391,3.6,5,Credit Card,Porter,Cloudy,Medium,Dinner,Normal,FIRST50,Percentage,,Heavy Rain
O000105,C02022,K008,R0416,2026-01-07,20,35,Delivered,1369,162,981,3.7,2,Wallet,In-House,Cloudy,Medium,Breakfast,Express,FESTIVE20,No Discount,,Customer Unavailable
O000106,C00214,K031,R0459,2026-12-12,11,44,Delivered,1091,6,767,3.8,6,Debit Card,Shadowfax,Cloudy,High,Dinner,Normal,FESTIVE20,Flat,,Heavy Rain
O000107,C02783,K048,R0094,2026-07-26,10,24,Delivered,1281,81,958,4.7,6,Credit Card,Shadowfax,Cloudy,High,Lunch,Normal,SAVE50,No Discount,,
O000108,C01670,K024,R0059,2026-10-30,35,30,Delivered,285,134,175,3.7,9,Debit Card,In-House,Sunny,High,Breakfast,Normal,FIRST50,No Discount,Ingredient Delay,
O000109,C00109,K021,R0447,2026-07-23,35,15,Delivered,526,190,301,3.4,15,UPI,Dunzo,Sunny,High,Dinner,Normal,WELCOME100,Percentage,Equipment Issue,
O000110,C01286,K021,R0408,2026-12-24,35,37,Delivered,276,83,197,3.3,9,Debit Card,Dunzo,Cloudy,Low,Evening,Normal,SAVE50,Flat,Equipment Issue,Rider Delay
O000111,C00616,K032,R0469,2026-06-28,16,58,Delivered,987,172,570,4.7,11,Wallet,Shadowfax,Sunny,Medium,Evening,Normal,WELCOME100,Percentage,,Heavy Rain
O000112,C02728,K020,R0436,2025-02-23,24,52,Delivered,620,126,365,4.8,15,UPI,Shadowfax,Sunny,Low,Evening,Normal,WELCOME100,No Discount,,Customer Unavailable
O000113,C02166,K003,R0421,2025-07-01,24,34,Delivered,1032,131,734,4.3,2,Credit Card,In-House,Cloudy,Medium,Lunch,Normal,SAVE50,No Discount,,Traffic
O000114,C02506,K049,R0334,2025-01-22,19,56,Delivered,417,155,290,3.9,5,Debit Card,Shadowfax,Sunny,Low,Lunch,Express,WELCOME100,Percentage,,Rider Delay
O000115,C02126,K035,R0341,2025-08-23,33,19,Delivered,1095,145,655,4.0,11,UPI,In-House,Rainy,Medium,Lunch,Normal,FESTIVE20,Flat,High Order Volume,
O000116,C00914,K016,R0047,2025-11-20,23,27,Delivered,764,166,430,4.7,13,UPI,In-House,Cloudy,High,Lunch,Express,SAVE50,Percentage,,
O000117,C00706,K034,R0322,2025-02-07,23,53,Delivered,1206,142,706,4.3,14,UPI,In-House,Cloudy,High,Evening,Express,FIRST50,No Discount,,Rider Delay
O000118,C00796,K031,R0410,2026-07-23,12,42,Delivered,267,157,158,4.2,8,Cash,Shadowfax,Sunny,Low,Breakfast,Express,NONE,Flat,,Rider Delay
O000119,C02264,K014,R0471,2026-12-25,30,55,Delivered,1036,73,655,4.7,8,Wallet,In-House,Rainy,Medium,Dinner,Express,NONE,No Discount,Equipment Issue,Traffic
O000120,C02305,K015,R0247,2026-08-05,23,53,Delivered,976,186,727,4.9,7,UPI,Shadowfax,Rainy,Medium,Dinner,Express,FESTIVE20,Percentage,,Heavy Rain
O000121,C00128,K022,R0372,2026-06-19,32,16,Delivered,1324,102,813,4.6,7,UPI,Dunzo,Sunny,Medium,Dinner,Express,FIRST50,Flat,High Order Volume,
O000122,C02211,K021,R0250,2025-07-13,38,22,Delivered,565,12,439,4.7,10,UPI,Dunzo,Sunny,Medium,Dinner,Express,FIRST50,Percentage,High Order Volume,
O000123,C00174,K048,R0016,2026-07-24,28,25,Delivered,264,117,204,4.7,6,Debit Card,Porter,Sunny,Low,Lunch,Normal,FESTIVE20,Flat,Staff Shortage,
O000124,C02732,K036,R0051,2026-04-24,22,30,Delivered,690,144,426,3.5,13,Wallet,Porter,Sunny,Low,Evening,Express,NONE,No Discount,,
O000125,C02123,K026,R0173,2026-12-08,12,54,Delivered,1398,70,1004,3.5,15,Cash,In-House,Rainy,Low,Dinner,Normal,NONE,Percentage,,Rider Delay
O000126,C02525,K022,R0393,2026-11-11,29,16,Delivered,203,19,122,3.8,8,UPI,Dunzo,Rainy,Low,Lunch,Express,SAVE50,Percentage,Ingredient Delay,
O000127,C00540,K021,R0417,2026-09-04,38,35,Delivered,862,141,504,3.9,12,Credit Card,Dunzo,Cloudy,High,Lunch,Normal,FIRST50,Flat,Equipment Issue,Traffic
O000128,C02027,K036,R0075,2025-01-25,35,46,Delivered,1204,32,898,3.2,5,Credit Card,Shadowfax,Sunny,Low,Dinner,Normal,FESTIVE20,Percentage,Staff Shortage,Traffic
O000129,C01252,K049,R0254,2025-04-11,33,37,Delivered,688,76,385,3.9,6,Wallet,In-House,Sunny,Medium,Evening,Express,WELCOME100,No Discount,Equipment Issue,Rider Delay
O000130,C02970,K041,R0135,2026-10-05,11,37,Delivered,706,67,540,3.6,10,Wallet,Porter,Sunny,Medium,Lunch,Express,WELCOME100,Flat,,Traffic
O000131,C00123,K009,R0072,2026-11-22,17,29,Delivered,871,197,659,3.2,12,Credit Card,Shadowfax,Cloudy,Low,Dinner,Normal,NONE,Percentage,,
O000132,C00701,K004,R0456,2025-07-26,24,31,Delivered,1096,163,720,3.8,14,Cash,Dunzo,Cloudy,High,Lunch,Normal,WELCOME100,Flat,,Traffic
O000133,C00828,K011,R0419,2025-02-11,19,37,Delivered,742,92,519,4.0,14,Cash,Shadowfax,Sunny,Medium,Evening,Express,SAVE50,Flat,,Traffic
O000134,C00514,K044,R0452,2026-04-16,35,26,Delivered,352,35,203,4.2,9,UPI,Porter,Sunny,Low,Breakfast,Normal,FESTIVE20,No Discount,Equipment Issue,
O000135,C02129,K004,R0063,2026-03-21,14,37,Delivered,1289,177,1015,4.0,7,Cash,In-House,Cloudy,Medium,Evening,Express,SAVE50,Percentage,,Heavy Rain
O000136,C02153,K005,R0278,2026-05-04,28,39,Delivered,1095,178,842,3.3,2,Credit Card,Dunzo,Cloudy,Medium,Evening,Normal,FIRST50,No Discount,Ingredient Delay,Customer Unavailable
O000137,C02942,K005,R0233,2025-04-06,27,24,Delivered,888,161,533,3.4,5,Debit Card,Shadowfax,Rainy,Medium,Dinner,Express,FIRST50,Flat,Staff Shortage,
O000138,C00732,K020,R0333,2025-08-29,40,18,Cancelled,1221,71,799,3.8,3,Debit Card,Porter,Rainy,High,Breakfast,Express,FESTIVE20,No Discount,High Order Volume,Rider Delay
O000139,C00550,K002,R0085,2025-05-28,33,51,Delivered,260,75,166,3.5,8,Debit Card,In-House,Sunny,Low,Evening,Express,SAVE50,No Discount,Equipment Issue,Traffic
O000140,C00555,K033,R0131,2025-03-22,30,34,Delivered,338,1,210,3.0,2,Credit Card,Dunzo,Rainy,Low,Dinner,Express,WELCOME100,No Discount,Staff Shortage,Customer Unavailable
O000141,C01413,K032,R0462,2025-03-20,39,40,Delivered,706,90,465,3.4,2,UPI,Porter,Cloudy,High,Dinner,Express,FESTIVE20,Flat,High Order Volume,Heavy Rain
O000142,C02490,K012,R0044,2026-06-28,40,19,Delivered,1054,81,661,3.6,7,Debit Card,In-House,Rainy,Low,Evening,Normal,FIRST50,Percentage,High Order Volume,
O000143,C00267,K025,R0312,2026-01-16,16,26,Delivered,208,174,163,4.9,12,Credit Card,Porter,Rainy,Low,Dinner,Express,SAVE50,Flat,,
O000144,C00185,K048,R0298,2025-02-05,10,54,Delivered,342,138,222,3.6,9,Debit Card,Dunzo,Sunny,Medium,Dinner,Express,WELCOME100,Flat,,Traffic
O000145,C01725,K015,R0317,2026-12-08,21,36,Cancelled,334,33,214,4.3,8,UPI,Dunzo,Rainy,Low,Evening,Express,SAVE50,Percentage,,Rider Delay
O000146,C02615,K042,R0065,2025-11-28,10,36,Delivered,358,51,227,3.9,9,Credit Card,Porter,Sunny,Low,Dinner,Normal,NONE,Percentage,,Traffic
O000147,C01284,K005,R0253,2026-06-30,10,27,Delivered,363,5,273,3.2,3,Credit Card,In-House,Cloudy,Medium,Dinner,Express,WELCOME100,Flat,,
O000148,C02726,K048,R0356,2025-03-12,25,27,Delivered,1109,142,766,4.0,6,Credit Card,In-House,Sunny,High,Breakfast,Normal,NONE,No Discount,,
O000149,C02450,K005,R0442,2025-07-17,27,59,Delivered,253,99,171,4.6,6,Credit Card,In-House,Cloudy,Low,Breakfast,Normal,FIRST50,No Discount,Staff Shortage,Traffic
