MenuID,ItemName,Category,CostPrice,SellingPrice
M147,Item M147,Wraps,126,215
M148,Item M148,Dessert,194,357
M149,Item M149,Chinese,190,301
M150,Item M150,Biryani,159,213
M151,Item M151,Burger,207,305
M152,Item M152,Beverages,217,362
M153,Item M153,Chinese,180,335
M154,Item M154,Chinese,87,240
M155,Item M155,Dessert,220,353
M156,Item M156,South Indian,158,217
M157,Item M157,Biryani,241,329
M158,Item M158,Biryani,204,256
M159,Item M159,Wraps,167,238
M160,Item M160,Dessert,200,288
M161,Item M161,Chinese,164,326
M162,Item M162,Chinese,178,251
M163,Item M163,South Indian,105,240
M164,Item M164,South Indian,127,207
M165,Item M165,Burger,125,221
M166,Item M166,South Indian,117,198
M167,Item M167,Beverages,203,276
M168,Item M168,Beverages,116,227
M169,Item M169,Dessert,210,300
M170,Item M170,Wraps,131,266
M171,Item M171,Pizza,137,243
M172,Item M172,Biryani,140,192
M173,Item M173,Beverages,173,346
M174,Item M174,South Indian,91,262
M175,Item M175,South Indian,80,197
M176,Item M176,Dessert,249,385
M177,Item M177,Beverages,201,361
M178,Item M178,Burger,85,209
M179,Item M179,Biryani,193,286
M180,Item M180,Biryani,237,393
M181,Item M181,Burger,247,404
M182,Item M182,Pizza,134,193
M183,Item M183,Chinese,144,237
M184,Item M184,Pizza,211,351
M185,Item M185,South Indian,201,358
M186,Item M186,Biryani,246,316
M187,Item M187,Beverages,164,333
M188,Item M188,Chinese,112,179
M189,Item M189,Chinese,194,325
M190,Item M190,Wraps,220,296
M191,Item M191,Pizza,197,305
M192,Item M192,South Indian,241,415
M193,Item M193,Burger,223,340
M194,Item M194,Pizza,121,211
M195,Item M195,Burger,88,170
M196,Item M196,Beverages,250,428
M197,Item M197,Beverages,114,188
M198,Item M198,South Indian,204,374
M199,Item M199,Beverages,137,232
M200,Item M200,South Indian,199,288
M201,Item M201,Burger,122,283
M202,Item M202,Beverages,220,369
M203,Item M203,South Indian,112,225
M204,Item M204,Burger,158,266
M205,Item M205,South Indian,177,323
M206,Item M206,Wraps,88,232
M207,Item M207,Biryani,117,262
M208,Item M208,Pizza,105,228
M209,Item M209,Beverages,129,231
M210,Item M210,Burger,234,301
M211,Item M211,South Indian,83,260
M212,Item M212,Burger,147,257
M213,Item M213,Chinese,84,235
M214,Item M214,Pizza,182,334
M215,Item M215,South Indian,237,311
M216,Item M216,Wraps,178,326
M217,Item M217,Biryani,133,195
M218,Item M218,Chinese,158,247
M219,Item M219,Biryani,215,317
M220,Item M220,Burger,179,295
M221,Item M221,Beverages,119,227
M222,Item M222,Pizza,213,360
M223,Item M223,Burger,145,284
M224,Item M224,Biryani,114,183
M225,Item M225,Dessert,99,236
M226,Item M226,Pizza,147,247
M227,Item M227,Pizza,239,356
M228,Item M228,Dessert,134,213
M229,Item M229,Chinese,208,290
M230,Item M230,Burger,192,292
M231,Item M231,Pizza,204,360
M232,Item M232,Chinese,231,323
M233,Item M233,Burger,233,347
M234,Item M234,Chinese,202,258
M235,Item M235,Dessert,202,344
M236,Item M236,Biryani,116,296
M237,Item M237,Chinese,192,323
M238,Item M238,Beverages,122,187
M239,Item M239,Wraps,124,179
M240,Item M240,Biryani,100,168
M241,Item M241,Biryani,154,205
M242,Item M242,Burger,83,256
M243,Item M243,South Indian,209,286
M244,Item M244,Wraps,196,283
M245,Item M245,Chinese,127,288
M246,Item M246,Beverages,163,270
M247,Item M247,Biryani,246,340
M248,Item M248,Dessert,186,297
M249,Item M249,Pizza,159,236
M250,Item M250,Wraps,98,215
